sample_index,pts,r,stype,landmark_index
1,0,0,mt-at,1
101,0,0,wt-at,1
102,0,0,wt-at,1
103,0,0,wt-at,1
104,0,0,wt-at,1
105,0,0,wt-at,1
106,0,0,wt-at,1
107,0,0,wt-at,1
108,0,0,wt-at,1
109,0,0,wt-at,1
110,0,0,wt-at,1
111,0,0,wt-at,1
112_1,0,0,wt-at,1
112_2,0,0,mt-at,1
113,0,0,wt-at,1
114,0,0,wt-at,1
115,0,0,wt-at,1
116,0,0,wt-at,1
117,0,0,wt-at,1
118,0,0,wt-at,1
119,0,0,wt-at,1
120,0,0,wt-at,1
121,0,0,wt-at,1
122,0,0,wt-at,1
123,0,0,wt-at,1
124,0,0,wt-at,1
125,0,0,wt-at,1
126,0,0,wt-at,1
127,0,0,wt-at,1
128,0,0,wt-at,1
129,0,0,wt-at,1
130,0,0,wt-at,1
131,0,0,wt-at,1
132,0,0,wt-at,1
133,0,0,wt-at,1
134,0,0,wt-at,1
135,0,0,wt-at,1
136,0,0,wt-at,1
137,0,0,wt-at,1
138,0,0,wt-at,1
139,0,0,wt-at,1
140,0,0,wt-at,1
141,0,0,wt-at,1
142,0,0,wt-at,1
143,0,0,wt-at,1
152,0,0,mt-at,1
172,0,0,mt-at,1
19,0,0,mt-at,1
2,0,0,mt-at,1
21,0,0,mt-at,1
24,0,0,mt-at,1
3,0,0,mt-at,1
317,0,0,mt-at,1
318,0,0,mt-at,1
319,0,0,mt-at,1
320,0,0,mt-at,1
321,0,0,mt-at,1
323,0,0,mt-at,1
324,0,0,mt-at,1
325,0,0,mt-at,1
326,0,0,mt-at,1
327,0,0,mt-at,1
328,0,0,mt-at,1
329,0,0,mt-at,1
330,0,0,mt-at,1
331,0,0,mt-at,1
332,0,0,mt-at,1
333,0,0,mt-at,1
334,0,0,mt-at,1
335,0,0,mt-at,1
336,0,0,mt-at,1
337,0,0,mt-at,1
338,0,0,mt-at,1
339,0,0,mt-at,1
340,0,0,mt-at,1
4,0,0,mt-at,1
5,0,0,mt-at,1
6,0,0,mt-at,1
1,0,0,mt-at,2
101,0,0,wt-at,2
102,0,0,wt-at,2
103,0,0,wt-at,2
104,0,0,wt-at,2
105,0,0,wt-at,2
106,0,0,wt-at,2
107,0,0,wt-at,2
108,0,0,wt-at,2
109,0,0,wt-at,2
110,0,0,wt-at,2
111,0,0,wt-at,2
112_1,0,0,wt-at,2
112_2,0,0,mt-at,2
113,0,0,wt-at,2
114,0,0,wt-at,2
115,0,0,wt-at,2
116,0,0,wt-at,2
117,0,0,wt-at,2
118,0,0,wt-at,2
119,0,0,wt-at,2
120,0,0,wt-at,2
121,0,0,wt-at,2
122,0,0,wt-at,2
123,0,0,wt-at,2
124,0,0,wt-at,2
125,0,0,wt-at,2
126,0,0,wt-at,2
127,0,0,wt-at,2
128,0,0,wt-at,2
129,0,0,wt-at,2
130,0,0,wt-at,2
131,0,0,wt-at,2
132,0,0,wt-at,2
133,0,0,wt-at,2
134,0,0,wt-at,2
135,0,0,wt-at,2
136,0,0,wt-at,2
137,0,0,wt-at,2
138,0,0,wt-at,2
139,0,0,wt-at,2
140,0,0,wt-at,2
141,0,0,wt-at,2
142,0,0,wt-at,2
143,0,0,wt-at,2
152,0,0,mt-at,2
172,0,0,mt-at,2
19,0,0,mt-at,2
2,0,0,mt-at,2
21,0,0,mt-at,2
24,0,0,mt-at,2
3,0,0,mt-at,2
317,0,0,mt-at,2
318,0,0,mt-at,2
319,0,0,mt-at,2
320,0,0,mt-at,2
321,0,0,mt-at,2
323,0,0,mt-at,2
324,0,0,mt-at,2
