sample_index,pts,r,stype,landmark_index
1,0,0,mt-zrf,1
101,0,0,wt-zrf,1
102,0,0,wt-zrf,1
103,0,0,wt-zrf,1
104,0,0,wt-zrf,1
105,0,0,wt-zrf,1
106,0,0,wt-zrf,1
107,0,0,wt-zrf,1
108,0,0,wt-zrf,1
109,0,0,wt-zrf,1
110,0,0,wt-zrf,1
111,0,0,wt-zrf,1
112_1,0,0,wt-zrf,1
112_2,0,0,mt-zrf,1
113,0,0,wt-zrf,1
114,0,0,wt-zrf,1
115,0,0,wt-zrf,1
116,0,0,wt-zrf,1
117,0,0,wt-zrf,1
118,0,0,wt-zrf,1
119,0,0,wt-zrf,1
120,0,0,wt-zrf,1
121,0,0,wt-zrf,1
122,0,0,wt-zrf,1
123,0,0,wt-zrf,1
124,0,0,wt-zrf,1
125,0,0,wt-zrf,1
126,0,0,wt-zrf,1
127,0,0,wt-zrf,1
128,0,0,wt-zrf,1
129,0,0,wt-zrf,1
130,0,0,wt-zrf,1
131,0,0,wt-zrf,1
132,0,0,wt-zrf,1
133,0,0,wt-zrf,1
134,0,0,wt-zrf,1
135,0,0,wt-zrf,1
136,0,0,wt-zrf,1
137,0,0,wt-zrf,1
138,0,0,wt-zrf,1
139,0,0,wt-zrf,1
140,0,0,wt-zrf,1
141,0,0,wt-zrf,1
142,0,0,wt-zrf,1
143,0,0,wt-zrf,1
152,0,0,mt-zrf,1
172,0,0,mt-zrf,1
19,0,0,mt-zrf,1
2,0,0,mt-zrf,1
21,0,0,mt-zrf,1
24,0,0,mt-zrf,1
3,0,0,mt-zrf,1
317,0,0,mt-zrf,1
318,0,0,mt-zrf,1
319,0,0,mt-zrf,1
320,0,0,mt-zrf,1
321,0,0,mt-zrf,1
323,0,0,mt-zrf,1
324,0,0,mt-zrf,1
325,0,0,mt-zrf,1
326,0,0,mt-zrf,1
327,0,0,mt-zrf,1
328,0,0,mt-zrf,1
329,0,0,mt-zrf,1
330,0,0,mt-zrf,1
331,0,0,mt-zrf,1
332,0,0,mt-zrf,1
333,0,0,mt-zrf,1
334,0,0,mt-zrf,1
335,0,0,mt-zrf,1
336,0,0,mt-zrf,1
337,0,0,mt-zrf,1
338,0,0,mt-zrf,1
339,0,0,mt-zrf,1
340,0,0,mt-zrf,1
4,0,0,mt-zrf,1
5,0,0,mt-zrf,1
6,0,0,mt-zrf,1
1,0,0,mt-zrf,2
101,0,0,wt-zrf,2
102,0,0,wt-zrf,2
103,0,0,wt-zrf,2
