sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index,median,median_2,r_new,r2_new
1,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
101,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
102,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
103,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
104,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
105,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
106,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
107,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
108,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
109,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
110,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
111,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
112_1,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
112_2,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
113,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
114,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
115,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
116,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
117,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
118,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
119,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
120,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
121,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
122,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
123,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
124,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
125,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
126,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
127,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
128,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
129,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
130,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
131,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
132,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
133,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
134,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
135,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
136,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
137,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
138,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
139,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
140,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
141,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
142,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
143,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,-90.51/-3.14,1,0,0,0,0
152,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
172,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
19,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
2,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
21,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
24,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
3,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
317,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
318,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
319,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
320,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
321,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,-90.51/-3.14,1,0,0,0,0
