sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
1,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
101,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
102,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
103,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
104,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
105,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
106,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
107,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
108,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
109,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
110,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
111,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
112_1,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
112_2,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
113,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
114,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
115,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
116,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
117,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
118,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
119,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
120,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
121,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
122,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
123,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
124,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
125,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
126,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
127,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
128,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
129,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
130,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
131,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
132,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
133,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
134,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
135,-90.51,-80.99,-3.14,-2.36,50,0,,wt-zrf,28.82484076,1
