landmark_index, pred, ww, wm, mm, mw
1,0,42,0,0,35
2,0,42,0,0,35
3,0,42,0,0,35
4,0,42,0,35,0
5,0,42,0,35,0
6,0,42,0,35,0
7,0,42,0,0,35
8,0,42,0,0,35
9,0,42,0,35,0
10,0,42,0,35,0
11,0,41,1,34,1
12,0,42,0,35,0
13,0,41,1,35,0
14,0,41,1,34,1
15,0,41,1,34,1
16,0,42,0,0,35
17,1,39,3,34,1
18,0,40,2,35,0
19,0,21,21,34,1
20,0,20,22,32,3
21,0,38,4,33,2
22,0,40,2,32,3
23,0,42,0,33,2
24,0,11,31,34,1
25,0,27,15,32,3
26,0,33,9,31,4
27,0,34,8,28,7
28,0,36,6,28,7
29,0,36,6,26,9
30,0,34,8,25,10
31,0,39,3,27,8
32,0,26,16,32,3
33,0,35,7,26,9
34,0,37,5,26,9
35,0,39,3,26,9
36,1,34,8,26,9
37,0,35,7,27,8
38,0,37,5,19,16
39,0,37,5,18,17
40,0,38,4,23,12
41,0,34,8,28,7
42,0,36,6,25,10
43,1,32,10,25,10
44,1,25,17,20,15
45,0,32,10,25,10
46,0,29,13,27,8
47,0,36,6,24,11
48,0,34,8,28,7
49,0,37,5,24,11
50,0,37,5,23,12
51,1,34,8,27,8
52,0,34,8,25,10
53,0,37,5,26,9
54,1,34,8,20,15
55,1,34,8,22,13
56,0,35,7,28,7
57,0,37,5,21,14
58,0,36,6,26,9
59,0,36,6,20,15
60,0,40,2,19,16
61,0,34,8,27,8
62,1,34,8,25,10
63,1,29,13,27,8
64,1,32,10,25,10
65,0,37,5,27,8
66,0,36,6,23,12
67,0,38,4,17,18
68,1,24,18,24,11
69,0,38,4,23,12
70,1,33,9,24,11
71,1,32,10,25,10
72,1,33,9,24,11
73,0,34,8,22,13
74,0,38,4,22,13
75,0,41,1,15,20
76,0,42,0,0,35
77,0,33,9,26,9
78,1,35,7,23,12
79,1,37,5,21,14
80,0,38,4,23,12
81,0,38,4,20,15
82,0,37,5,18,17
83,0,37,5,17,18
84,0,31,11,22,13
85,0,26,16,29,6
86,0,36,6,20,15
87,0,34,8,25,10
88,0,38,4,24,11
89,0,39,3,20,15
90,0,33,9,22,13
91,0,34,8,24,11
92,0,34,8,21,14
93,0,35,7,21,14
94,0,38,4,24,11
95,0,39,3,24,11
96,0,33,9,27,8
97,0,39,3,21,14
98,0,35,7,18,17
99,0,32,10,25,10
100,0,39,3,21,14
101,0,37,5,22,13
102,0,34,8,27,8
103,0,37,5,21,14
104,0,33,9,31,4
105,0,40,2,29,6
106,1,37,5,28,7
107,1,35,7,23,12
108,0,40,2,17,18
109,0,35,7,27,8
110,0,37,5,22,13
111,0,36,6,25,10
112,0,37,5,28,7
113,0,35,7,31,4
114,0,33,9,33,2
115,0,37,5,29,6
116,0,40,2,27,8
117,0,40,2,24,11
118,0,36,6,23,12
119,0,36,6,18,17
120,0,34,8,28,7
121,0,36,6,32,3
122,0,37,5,32,3
123,0,36,6,30,5
124,0,37,5,29,6
125,0,34,8,28,7
126,0,36,6,24,11
127,0,28,14,29,6
128,0,23,19,32,3
129,0,41,1,34,1
130,0,40,2,35,0
131,0,22,20,33,2
132,0,34,8,34,1
133,1,26,16,33,2
134,1,25,17,33,2
135,1,38,4,35,0
136,0,42,0,34,1
137,0,42,0,35,0
138,0,42,0,35,0
139,0,42,0,35,0
140,0,42,0,35,0
141,0,42,0,35,0
142,0,42,0,35,0
143,0,42,0,35,0
144,0,41,1,35,0
145,0,42,0,0,35
146,0,42,0,0,35
147,0,42,0,35,0
148,0,42,0,35,0
149,0,42,0,35,0
150,0,42,0,35,0
151,0,42,0,35,0
152,0,42,0,35,0
