sample_index, landmark_index, pred, ww, wm, mm, mw
330, 1, 1, 0, 35, 43, 0
330, 2, 1, 0, 35, 43, 0
330, 3, 1, 0, 35, 43, 0
330, 4, 0, 35, 0, 43, 0
330, 5, 0, 35, 0, 43, 0
330, 6, 0, 35, 0, 43, 0
330, 7, 1, 0, 35, 43, 0
330, 8, 1, 0, 35, 43, 0
330, 9, 0, 35, 0, 43, 0
330, 10, 0, 35, 0, 43, 0
330, 11, 0, 34, 1, 41, 2
330, 12, 0, 35, 0, 43, 0
330, 13, 0, 34, 1, 43, 0
330, 14, 0, 34, 1, 38, 5
330, 15, 0, 34, 1, 43, 0
330, 16, 1, 0, 35, 43, 0
330, 17, 0, 34, 1, 38, 5
330, 18, 0, 34, 1, 40, 3
330, 19, 0, 31, 4, 28, 15
330, 20, 0, 32, 3, 25, 18
330, 21, 0, 32, 3, 39, 4
330, 22, 0, 31, 4, 43, 0
330, 23, 0, 33, 2, 43, 0
330, 24, 0, 34, 1, 42, 1
330, 25, 0, 29, 6, 32, 11
330, 26, 0, 29, 6, 35, 8
330, 27, 0, 26, 9, 38, 5
330, 28, 0, 26, 9, 38, 5
330, 29, 0, 26, 9, 37, 6
330, 30, 0, 24, 11, 35, 8
330, 31, 0, 26, 9, 42, 1
330, 32, 0, 31, 4, 30, 13
330, 33, 0, 26, 9, 36, 7
330, 34, 1, 26, 9, 39, 4
330, 35, 1, 26, 9, 40, 3
330, 36, 1, 20, 15, 38, 5
330, 37, 0, 27, 8, 36, 7
330, 38, 1, 19, 16, 42, 1
330, 39, 0, 20, 15, 38, 5
330, 40, 0, 24, 11, 40, 3
330, 41, 0, 28, 7, 35, 8
330, 42, 1, 24, 11, 39, 4
330, 43, 0, 29, 6, 23, 20
330, 44, 1, 10, 25, 40, 3
330, 45, 1, 21, 14, 35, 8
330, 46, 1, 26, 9, 33, 10
330, 47, 0, 24, 11, 36, 7
330, 48, 0, 28, 7, 35, 8
330, 49, 1, 23, 12, 38, 5
330, 50, 1, 24, 11, 36, 7
330, 51, 0, 25, 10, 35, 8
330, 52, 1, 20, 15, 36, 7
330, 53, 1, 26, 9, 39, 4
330, 54, 1, 27, 8, 26, 17
330, 55, 1, 17, 18, 39, 4
330, 56, 0, 28, 7, 36, 7
330, 57, 1, 21, 14, 38, 5
330, 58, 0, 28, 7, 34, 9
330, 59, 0, 20, 15, 37, 6
330, 60, 1, 20, 15, 40, 3
330, 61, 1, 24, 11, 35, 8
330, 62, 1, 26, 9, 36, 7
330, 63, 1, 22, 13, 32, 11
330, 64, 1, 25, 10, 32, 11
330, 65, 0, 26, 9, 40, 3
330, 66, 1, 26, 9, 33, 10
330, 67, 1, 17, 18, 36, 7
330, 68, 1, 14, 21, 36, 7
330, 69, 1, 23, 12, 39, 4
330, 70, 1, 20, 15, 37, 6
330, 71, 1, 25, 10, 33, 10
330, 72, 1, 19, 16, 36, 7
330, 73, 0, 22, 13, 37, 6
330, 74, 1, 15, 20, 42, 1
330, 75, 1, 14, 21, 42, 1
330, 76, 1, 14, 21, 34, 9
330, 77, 1, 26, 9, 33, 10
330, 78, 1, 23, 12, 35, 8
330, 79, 1, 20, 15, 37, 6
330, 80, 1, 23, 12, 38, 5
330, 81, 0, 20, 15, 39, 4
330, 82, 0, 18, 17, 38, 5
330, 83, 1, 16, 19, 39, 4
330, 84, 1, 21, 14, 35, 8
330, 85, 1, 29, 6, 26, 17
330, 86, 1, 20, 15, 36, 7
330, 87, 1, 25, 10, 35, 8
330, 88, 0, 28, 7, 34, 9
330, 89, 0, 20, 15, 40, 3
330, 90, 0, 22, 13, 35, 8
330, 91, 0, 24, 11, 34, 9
