sample_index,landmark_index,pred,mm,mw,ww,wm
112_1,1,0,0,35,43,0
112_1,2,0,0,35,43,0
112_1,3,0,0,35,43,0
112_1,4,0,35,0,43,0
112_1,5,0,35,0,43,0
112_1,6,0,35,0,43,0
112_1,7,0,0,35,43,0
112_1,8,0,0,35,43,0
112_1,9,0,35,0,43,0
112_1,10,0,35,0,43,0
112_1,11,0,34,1,41,2
112_1,12,0,35,0,43,0
112_1,13,0,34,1,43,0
112_1,14,0,34,1,38,5
112_1,15,0,34,1,43,0
112_1,16,0,0,35,43,0
112_1,17,0,34,1,38,5
112_1,18,0,34,1,40,3
112_1,19,0,31,4,28,15
112_1,20,0,32,3,25,18
112_1,21,0,32,3,39,4
112_1,22,0,31,4,43,0
112_1,23,0,33,2,43,0
112_1,24,0,34,1,42,1
112_1,25,0,29,6,32,11
112_1,26,0,29,6,35,8
112_1,27,0,26,9,38,5
112_1,28,0,26,9,38,5
112_1,29,0,26,9,37,6
112_1,30,0,24,11,35,8
112_1,31,0,26,9,42,1
112_1,32,0,31,4,30,13
112_1,33,0,26,9,36,7
112_1,34,0,26,9,39,4
112_1,35,0,26,9,40,3
112_1,36,0,20,15,38,5
112_1,37,0,27,8,36,7
112_1,38,0,19,16,42,1
112_1,39,0,20,15,38,5
112_1,40,0,24,11,40,3
112_1,41,0,28,7,35,8
112_1,42,0,24,11,39,4
112_1,43,0,29,6,23,20
112_1,44,0,10,25,40,3
112_1,45,0,21,14,35,8
112_1,46,1,26,9,33,10
112_1,47,0,24,11,36,7
112_1,48,0,28,7,35,8
112_1,49,0,23,12,38,5
112_1,50,0,24,11,36,7
112_1,51,0,25,10,35,8
112_1,52,0,20,15,36,7
112_1,53,0,26,9,39,4
112_1,54,0,27,8,26,17
112_1,55,0,17,18,39,4
112_1,56,1,28,7,36,7
112_1,57,0,21,14,38,5
112_1,58,0,28,7,34,9
112_1,59,0,20,15,37,6
112_1,60,0,20,15,40,3
112_1,61,1,24,11,35,8
112_1,62,0,26,9,36,7
112_1,63,0,22,13,32,11
112_1,64,0,25,10,32,11
112_1,65,0,26,9,40,3
112_1,66,0,26,9,33,10
112_1,67,0,17,18,36,7
112_1,68,0,14,21,36,7
112_1,69,0,23,12,39,4
112_1,70,0,20,15,37,6
112_1,71,0,25,10,33,10
112_1,72,0,19,16,36,7
112_1,73,0,22,13,37,6
112_1,74,0,15,20,42,1
112_1,75,0,14,21,42,1
112_1,76,0,14,21,34,9
112_1,77,0,26,9,33,10
112_1,78,0,23,12,35,8
112_1,79,0,20,15,37,6
112_1,80,1,23,12,38,5
112_1,81,0,20,15,39,4
112_1,82,0,18,17,38,5
112_1,83,0,16,19,39,4
112_1,84,0,21,14,35,8
112_1,85,0,29,6,26,17
112_1,86,0,20,15,36,7
112_1,87,0,25,10,35,8
112_1,88,0,28,7,34,9
112_1,89,0,20,15,40,3
112_1,90,0,22,13,35,8
112_1,91,0,24,11,34,9
112_1,92,0,21,14,35,8
112_1,93,0,21,14,36,7
112_1,94,0,26,9,35,8
112_1,95,1,25,10,36,7
112_1,96,0,22,13,39,4
112_1,97,0,25,10,37,6
112_1,98,0,17,18,42,1
112_1,99,0,23,12,36,7
112_1,100,0,21,14,40,3
112_1,101,0,22,13,38,5
112_1,102,0,27,8,35,8
112_1,103,0,21,14,36,7
112_1,104,0,31,4,34,9
112_1,105,0,32,3,38,5
112_1,106,0,26,9,36,7
112_1,107,0,18,17,39,4
112_1,108,0,17,18,41,2
112_1,109,0,27,8,36,7
112_1,110,0,17,18,42,1
112_1,111,0,25,10,37,6
112_1,112,0,28,7,38,5
112_1,113,0,31,4,34,9
112_1,114,0,29,6,36,7
112_1,115,0,29,6,39,4
112_1,116,0,28,7,37,6
112_1,117,0,25,10,39,4
112_1,118,0,21,14,39,4
112_1,119,0,28,7,27,16
112_1,120,0,32,3,30,13
112_1,121,0,32,3,37,6
112_1,122,1,33,2,33,10
112_1,123,0,30,5,36,7
112_1,124,0,30,5,39,4
112_1,125,0,28,7,35,8
112_1,126,0,27,8,34,9
112_1,127,0,25,10,40,3
112_1,128,1,34,1,23,20
112_1,129,0,34,1,43,0
112_1,130,0,34,1,40,3
112_1,131,0,33,2,27,16
112_1,132,1,33,2,33,10
112_1,133,0,32,3,41,2
112_1,134,0,33,2,22,21
112_1,135,0,34,1,37,6
112_1,136,0,34,1,43,0
112_1,137,0,35,0,42,1
112_1,138,0,35,0,43,0
112_1,139,0,35,0,43,0
112_1,140,0,35,0,42,1
112_1,141,0,35,0,43,0
112_1,142,0,35,0,43,0
112_1,143,0,35,0,43,0
112_1,144,0,35,0,42,1
112_1,145,0,0,35,43,0
112_1,146,0,0,35,43,0
112_1,147,0,35,0,43,0
112_1,148,0,35,0,43,0
112_1,149,0,35,0,43,0
112_1,150,0,35,0,43,0
112_1,151,0,35,0,43,0
112_1,152,0,35,0,43,0
