,sample_index,landmark_index,pred,mm,mw,ww,wm
0,142,1,0,0,35,43,0
1,142,2,0,0,35,43,0
2,142,3,0,0,35,43,0
3,142,4,0,35,0,43,0
4,142,5,0,35,0,43,0
5,142,6,0,35,0,43,0
6,142,7,0,0,35,43,0
7,142,8,0,0,35,43,0
8,142,9,0,35,0,43,0
9,142,10,0,35,0,43,0
10,142,11,1,34,1,41,2
11,142,12,0,35,0,43,0
12,142,13,0,34,1,43,0
13,142,14,0,34,1,38,5
14,142,15,0,34,1,43,0
15,142,16,0,0,35,43,0
16,142,17,1,34,1,38,5
17,142,18,1,34,1,40,3
18,142,19,0,31,4,28,15
19,142,20,0,32,3,25,18
20,142,21,0,32,3,39,4
21,142,22,0,31,4,43,0
22,142,23,0,33,2,43,0
23,142,24,0,34,1,42,1
24,142,25,0,29,6,32,11
25,142,26,0,29,6,35,8
26,142,27,0,26,9,38,5
27,142,28,0,26,9,38,5
28,142,29,0,26,9,37,6
29,142,30,0,24,11,35,8
30,142,31,0,26,9,42,1
31,142,32,0,31,4,30,13
32,142,33,0,26,9,36,7
33,142,34,0,26,9,39,4
34,142,35,0,26,9,40,3
35,142,36,0,20,15,38,5
36,142,37,0,27,8,36,7
37,142,38,0,19,16,42,1
38,142,39,0,20,15,38,5
39,142,40,0,24,11,40,3
40,142,41,0,28,7,35,8
41,142,42,0,24,11,39,4
42,142,43,0,29,6,23,20
43,142,44,0,10,25,40,3
44,142,45,0,21,14,35,8
45,142,46,0,26,9,33,10
46,142,47,0,24,11,36,7
47,142,48,0,28,7,35,8
48,142,49,0,23,12,38,5
49,142,50,0,24,11,36,7
50,142,51,0,25,10,35,8
51,142,52,0,20,15,36,7
52,142,53,0,26,9,39,4
53,142,54,1,27,8,26,17
54,142,55,0,17,18,39,4
55,142,56,0,28,7,36,7
56,142,57,0,21,14,38,5
57,142,58,0,28,7,34,9
58,142,59,0,20,15,37,6
59,142,60,0,20,15,40,3
60,142,61,0,24,11,35,8
61,142,62,0,26,9,36,7
62,142,63,0,22,13,32,11
63,142,64,0,25,10,32,11
64,142,65,0,26,9,40,3
65,142,66,0,26,9,33,10
66,142,67,0,17,18,36,7
67,142,68,0,14,21,36,7
68,142,69,0,23,12,39,4
69,142,70,1,20,15,37,6
70,142,71,0,25,10,33,10
71,142,72,0,19,16,36,7
72,142,73,0,22,13,37,6
73,142,74,0,15,20,42,1
74,142,75,0,14,21,42,1
75,142,76,0,14,21,34,9
76,142,77,1,26,9,33,10
77,142,78,0,23,12,35,8
78,142,79,0,20,15,37,6
79,142,80,1,23,12,38,5
80,142,81,0,20,15,39,4
81,142,82,0,18,17,38,5
82,142,83,0,16,19,39,4
83,142,84,0,21,14,35,8
84,142,85,0,29,6,26,17
85,142,86,0,20,15,36,7
86,142,87,0,25,10,35,8
87,142,88,1,28,7,34,9
88,142,89,0,20,15,40,3
89,142,90,0,22,13,35,8
90,142,91,0,24,11,34,9
91,142,92,0,21,14,35,8
92,142,93,0,21,14,36,7
93,142,94,0,26,9,35,8
94,142,95,0,25,10,36,7
95,142,96,0,22,13,39,4
96,142,97,0,25,10,37,6
97,142,98,0,17,18,42,1
98,142,99,0,23,12,36,7
99,142,100,0,21,14,40,3
100,142,101,0,22,13,38,5
101,142,102,0,27,8,35,8
102,142,103,0,21,14,36,7
103,142,104,0,31,4,34,9
104,142,105,1,32,3,38,5
105,142,106,1,26,9,36,7
106,142,107,0,18,17,39,4
107,142,108,0,17,18,41,2
108,142,109,0,27,8,36,7
109,142,110,0,17,18,42,1
110,142,111,0,25,10,37,6
111,142,112,0,28,7,38,5
112,142,113,1,31,4,34,9
113,142,114,1,29,6,36,7
114,142,115,0,29,6,39,4
115,142,116,0,28,7,37,6
116,142,117,0,25,10,39,4
117,142,118,0,21,14,39,4
118,142,119,0,28,7,27,16
119,142,120,0,32,3,30,13
120,142,121,0,32,3,37,6
121,142,122,0,33,2,33,10
122,142,123,0,30,5,36,7
123,142,124,0,30,5,39,4
124,142,125,0,28,7,35,8
125,142,126,0,27,8,34,9
126,142,127,0,25,10,40,3
127,142,128,0,34,1,23,20
128,142,129,0,34,1,43,0
129,142,130,0,34,1,40,3
130,142,131,0,33,2,27,16
131,142,132,0,33,2,33,10
132,142,133,0,32,3,41,2
133,142,134,0,33,2,22,21
134,142,135,0,34,1,37,6
135,142,136,0,34,1,43,0
136,142,137,0,35,0,42,1
137,142,138,0,35,0,43,0
138,142,139,0,35,0,43,0
139,142,140,0,35,0,42,1
140,142,141,0,35,0,43,0
141,142,142,0,35,0,43,0
142,142,143,0,35,0,43,0
143,142,144,0,35,0,42,1
144,142,145,0,0,35,43,0
145,142,146,0,0,35,43,0
146,142,147,0,35,0,43,0
147,142,148,0,35,0,43,0
148,142,149,0,35,0,43,0
149,142,150,0,35,0,43,0
150,142,151,0,35,0,43,0
151,142,152,0,35,0,43,0
