sample_index,landmark_index,pred,mm,mw,ww,wm
328,1,0,0,35,43,0
328,2,0,0,35,43,0
328,3,0,0,35,43,0
328,4,1,35,0,43,0
328,5,1,35,0,43,0
328,6,1,35,0,43,0
328,7,0,0,35,43,0
328,8,0,0,35,43,0
328,9,1,35,0,43,0
328,10,1,35,0,43,0
328,11,1,34,1,41,2
328,12,1,35,0,43,0
328,13,1,34,1,43,0
328,14,1,34,1,38,5
328,15,1,34,1,43,0
328,16,0,0,35,43,0
328,17,1,34,1,38,5
328,18,1,34,1,40,3
328,19,1,31,4,28,15
328,20,1,32,3,25,18
328,21,1,32,3,39,4
328,22,1,31,4,43,0
328,23,1,33,2,43,0
328,24,1,34,1,42,1
328,25,1,29,6,32,11
328,26,1,29,6,35,8
328,27,1,26,9,38,5
328,28,1,26,9,38,5
328,29,1,26,9,37,6
328,30,1,24,11,35,8
328,31,1,26,9,42,1
328,32,1,31,4,30,13
328,33,1,26,9,36,7
328,34,1,26,9,39,4
328,35,1,26,9,40,3
328,36,1,20,15,38,5
328,37,1,27,8,36,7
328,38,0,19,16,42,1
328,39,1,20,15,38,5
328,40,1,24,11,40,3
328,41,1,28,7,35,8
328,42,1,24,11,39,4
328,43,1,29,6,23,20
328,44,0,10,25,40,3
328,45,1,21,14,35,8
328,46,0,26,9,33,10
328,47,1,24,11,36,7
328,48,1,28,7,35,8
328,49,1,23,12,38,5
328,50,0,24,11,36,7
328,51,1,25,10,35,8
328,52,1,20,15,36,7
328,53,1,26,9,39,4
328,54,1,27,8,26,17
328,55,0,17,18,39,4
328,56,0,28,7,36,7
328,57,0,21,14,38,5
328,58,0,28,7,34,9
328,59,0,20,15,37,6
328,60,1,20,15,40,3
328,61,0,24,11,35,8
328,62,1,26,9,36,7
328,63,0,22,13,32,11
328,64,1,25,10,32,11
328,65,1,26,9,40,3
328,66,1,26,9,33,10
328,67,0,17,18,36,7
328,68,0,14,21,36,7
328,69,0,23,12,39,4
328,70,0,20,15,37,6
328,71,0,25,10,33,10
328,72,0,19,16,36,7
328,73,0,22,13,37,6
328,74,0,15,20,42,1
328,75,0,14,21,42,1
328,76,1,14,21,34,9
328,77,0,26,9,33,10
328,78,0,23,12,35,8
328,79,0,20,15,37,6
328,80,0,23,12,38,5
328,81,0,20,15,39,4
328,82,0,18,17,38,5
328,83,0,16,19,39,4
328,84,1,21,14,35,8
328,85,0,29,6,26,17
328,86,0,20,15,36,7
328,87,0,25,10,35,8
328,88,1,28,7,34,9
328,89,1,20,15,40,3
328,90,0,22,13,35,8
328,91,0,24,11,34,9
328,92,0,21,14,35,8
328,93,0,21,14,36,7
328,94,0,26,9,35,8
328,95,0,25,10,36,7
328,96,0,22,13,39,4
328,97,1,25,10,37,6
328,98,0,17,18,42,1
328,99,1,23,12,36,7
328,100,0,21,14,40,3
328,101,0,22,13,38,5
328,102,1,27,8,35,8
328,103,0,21,14,36,7
328,104,1,31,4,34,9
328,105,1,32,3,38,5
328,106,0,26,9,36,7
328,107,0,18,17,39,4
328,108,0,17,18,41,2
328,109,0,27,8,36,7
328,110,0,17,18,42,1
328,111,1,25,10,37,6
328,112,1,28,7,38,5
328,113,1,31,4,34,9
328,114,0,29,6,36,7
328,115,1,29,6,39,4
328,116,1,28,7,37,6
328,117,1,25,10,39,4
328,118,0,21,14,39,4
328,119,1,28,7,27,16
328,120,1,32,3,30,13
328,121,1,32,3,37,6
328,122,1,33,2,33,10
328,123,1,30,5,36,7
328,124,1,30,5,39,4
328,125,1,28,7,35,8
328,126,1,27,8,34,9
328,127,1,25,10,40,3
328,128,1,34,1,23,20
328,129,1,34,1,43,0
328,130,1,34,1,40,3
328,131,1,33,2,27,16
328,132,1,33,2,33,10
328,133,1,32,3,41,2
328,134,1,33,2,22,21
328,135,1,34,1,37,6
328,136,1,34,1,43,0
328,137,1,35,0,42,1
328,138,1,35,0,43,0
328,139,1,35,0,43,0
328,140,1,35,0,42,1
328,141,1,35,0,43,0
328,142,1,35,0,43,0
328,143,1,35,0,43,0
328,144,1,35,0,42,1
328,145,0,0,35,43,0
328,146,0,0,35,43,0
328,147,1,35,0,43,0
328,148,1,35,0,43,0
328,149,1,35,0,43,0
328,150,1,35,0,43,0
328,151,1,35,0,43,0
328,152,1,35,0,43,0
