sample_index, landmark_index, pred, ww, wm, mm, mw
329, 1, 1, 0, 35, 43, 0
329, 2, 1, 0, 35, 43, 0
329, 3, 1, 0, 35, 43, 0
329, 4, 0, 35, 0, 43, 0
329, 5, 0, 35, 0, 43, 0
329, 6, 0, 35, 0, 43, 0
329, 7, 1, 0, 35, 43, 0
329, 8, 1, 0, 35, 43, 0
329, 9, 0, 35, 0, 43, 0
329, 10, 0, 35, 0, 43, 0
329, 11, 1, 34, 1, 41, 2
329, 12, 0, 35, 0, 43, 0
329, 13, 0, 34, 1, 43, 0
329, 14, 0, 34, 1, 38, 5
329, 15, 0, 34, 1, 43, 0
329, 16, 1, 0, 35, 43, 0
329, 17, 0, 34, 1, 38, 5
329, 18, 0, 34, 1, 40, 3
329, 19, 1, 31, 4, 28, 15
329, 20, 1, 32, 3, 25, 18
329, 21, 0, 32, 3, 39, 4
329, 22, 1, 31, 4, 43, 0
329, 23, 0, 33, 2, 43, 0
329, 24, 0, 34, 1, 42, 1
329, 25, 0, 29, 6, 32, 11
329, 26, 0, 29, 6, 35, 8
329, 27, 1, 26, 9, 38, 5
329, 28, 1, 26, 9, 38, 5
329, 29, 1, 26, 9, 37, 6
329, 30, 1, 24, 11, 35, 8
329, 31, 0, 26, 9, 42, 1
329, 32, 0, 31, 4, 30, 13
329, 33, 1, 26, 9, 36, 7
329, 34, 1, 26, 9, 39, 4
329, 35, 1, 26, 9, 40, 3
329, 36, 1, 20, 15, 38, 5
329, 37, 1, 27, 8, 36, 7
329, 38, 1, 19, 16, 42, 1
329, 39, 0, 20, 15, 38, 5
329, 40, 1, 24, 11, 40, 3
329, 41, 0, 28, 7, 35, 8
329, 42, 0, 24, 11, 39, 4
329, 43, 1, 29, 6, 23, 20
329, 44, 1, 10, 25, 40, 3
329, 45, 0, 21, 14, 35, 8
329, 46, 0, 26, 9, 33, 10
329, 47, 1, 24, 11, 36, 7
329, 48, 0, 28, 7, 35, 8
329, 49, 0, 23, 12, 38, 5
329, 50, 1, 24, 11, 36, 7
329, 51, 1, 25, 10, 35, 8
329, 52, 0, 20, 15, 36, 7
329, 53, 0, 26, 9, 39, 4
329, 54, 0, 27, 8, 26, 17
329, 55, 1, 17, 18, 39, 4
329, 56, 1, 28, 7, 36, 7
329, 57, 0, 21, 14, 38, 5
329, 58, 1, 28, 7, 34, 9
329, 59, 1, 20, 15, 37, 6
329, 60, 1, 20, 15, 40, 3
329, 61, 0, 24, 11, 35, 8
329, 62, 0, 26, 9, 36, 7
329, 63, 1, 22, 13, 32, 11
329, 64, 0, 25, 10, 32, 11
329, 65, 0, 26, 9, 40, 3
329, 66, 1, 26, 9, 33, 10
329, 67, 1, 17, 18, 36, 7
329, 68, 1, 14, 21, 36, 7
329, 69, 1, 23, 12, 39, 4
329, 70, 1, 20, 15, 37, 6
329, 71, 1, 25, 10, 33, 10
329, 72, 1, 19, 16, 36, 7
329, 73, 1, 22, 13, 37, 6
329, 74, 1, 15, 20, 42, 1
329, 75, 1, 14, 21, 42, 1
329, 76, 1, 14, 21, 34, 9
329, 77, 1, 26, 9, 33, 10
329, 78, 1, 23, 12, 35, 8
329, 79, 1, 20, 15, 37, 6
329, 80, 1, 23, 12, 38, 5
329, 81, 1, 20, 15, 39, 4
329, 82, 1, 18, 17, 38, 5
329, 83, 1, 16, 19, 39, 4
329, 84, 0, 21, 14, 35, 8
329, 85, 1, 29, 6, 26, 17
329, 86, 1, 20, 15, 36, 7
329, 87, 1, 25, 10, 35, 8
329, 88, 0, 28, 7, 34, 9
329, 89, 1, 20, 15, 40, 3
329, 90, 1, 22, 13, 35, 8
329, 91, 1, 24, 11, 34, 9
329, 92, 1, 21, 14, 35, 8
329, 93, 1, 21, 14, 36, 7
329, 94, 0, 26, 9, 35, 8
329, 95, 1, 25, 10, 36, 7
329, 96, 1, 22, 13, 39, 4
329, 97, 1, 25, 10, 37, 6
329, 98, 1, 17, 18, 42, 1
329, 99, 0, 23, 12, 36, 7
329, 100, 0, 21, 14, 40, 3
329, 101, 0, 22, 13, 38, 5
329, 102, 0, 27, 8, 35, 8
329, 103, 1, 21, 14, 36, 7
