landmark_index, pred, ww, wm, mm, mw
1, 0, 43, 0, 0, 34
2, 0, 43, 0, 0, 34
3, 0, 43, 0, 0, 34
4, 1, 43, 0, 34, 0
5, 1, 43, 0, 34, 0
6, 1, 43, 0, 34, 0
7, 0, 43, 0, 0, 34
8, 0, 43, 0, 0, 34
9, 1, 43, 0, 34, 0
10, 1, 43, 0, 34, 0
11, 1, 41, 2, 33, 1
12, 0, 43, 0, 34, 0
13, 0, 43, 0, 34, 0
14, 0, 43, 0, 34, 0
15, 0, 43, 0, 34, 0
16, 0, 43, 0, 0, 34
17, 0, 43, 0, 34, 0
18, 0, 43, 0, 34, 0
19, 0, 42, 1, 31, 3
20, 0, 27, 16, 32, 2
21, 0, 39, 4, 32, 2
22, 0, 43, 0, 31, 3
23, 0, 43, 0, 33, 1
24, 0, 43, 0, 34, 0
25, 0, 32, 11, 29, 5
26, 0, 35, 8, 29, 5
27, 0, 38, 5, 27, 7
28, 0, 38, 5, 25, 9
29, 0, 40, 3, 25, 9
30, 0, 35, 8, 26, 8
31, 0, 42, 1, 26, 8
32, 0, 30, 13, 31, 3
33, 1, 36, 7, 25, 9
34, 1, 39, 4, 24, 10
35, 1, 40, 3, 25, 9
36, 0, 38, 5, 20, 14
37, 0, 36, 7, 27, 7
38, 0, 35, 8, 21, 13
39, 0, 38, 5, 20, 14
40, 0, 40, 3, 24, 10
41, 1, 35, 8, 27, 7
42, 1, 37, 6, 24, 10
43, 0, 43, 0, 14, 20
44, 0, 34, 9, 17, 17
45, 0, 34, 9, 24, 10
46, 1, 33, 10, 25, 9
47, 0, 37, 6, 24, 10
48, 0, 35, 8, 28, 6
49, 1, 38, 5, 23, 11
50, 1, 37, 6, 23, 11
51, 1, 35, 8, 24, 10
52, 0, 36, 7, 21, 13
53, 0, 38, 5, 26, 8
54, 1, 31, 12, 22, 12
55, 0, 40, 3, 18, 16
56, 0, 39, 4, 26, 8
57, 0, 38, 5, 21, 13
58, 1, 37, 6, 25, 9
59, 1, 40, 3, 18, 16
60, 0, 39, 4, 19, 15
61, 1, 35, 8, 26, 8
62, 1, 35, 8, 25, 9
63, 1, 32, 11, 20, 14
64, 0, 36, 7, 21, 13
65, 1, 38, 5, 26, 8
66, 1, 37, 6, 22, 12
67, 0, 39, 4, 16, 18
68, 0, 36, 7, 14, 20
69, 1, 39, 4, 22, 12
70, 1, 32, 11, 22, 12
71, 1, 32, 11, 24, 10
72, 1, 35, 8, 22, 12
73, 1, 37, 6, 19, 15
74, 1, 39, 4, 21, 13
75, 0, 40, 3, 14, 20
76, 0, 33, 10, 14, 20
77, 0, 34, 9, 23, 11
78, 1, 35, 8, 22, 12
79, 1, 37, 6, 19, 15
80, 0, 39, 4, 23, 11
81, 1, 39, 4, 17, 17
82, 1, 38, 5, 17, 17
83, 1, 39, 4, 15, 19
84, 0, 37, 6, 20, 14
85, 1, 26, 17, 28, 6
86, 1, 37, 6, 19, 15
87, 1, 35, 8, 24, 10
88, 1, 35, 8, 23, 11
89, 0, 41, 2, 19, 15
90, 1, 35, 8, 21, 13
91, 0, 35, 8, 24, 10
92, 0, 35, 8, 20, 14
93, 1, 36, 7, 20, 14
94, 1, 35, 8, 25, 9
95, 1, 40, 3, 22, 12
96, 1, 36, 7, 25, 9
97, 0, 40, 3, 22, 12
98, 0, 37, 6, 18, 16
99, 0, 39, 4, 19, 15
100, 0, 40, 3, 21, 13
101, 1, 39, 4, 20, 14
102, 1, 35, 8, 26, 8
103, 1, 41, 2, 18, 16
104, 1, 33, 10, 30, 4
105, 0, 38, 5, 33, 1
106, 1, 37, 6, 27, 7
107, 0, 37, 6, 19, 15
108, 0, 30, 13, 23, 11
109, 1, 36, 7, 26, 8
110, 1, 38, 5, 21, 13
111, 1, 37, 6, 24, 10
112, 0, 38, 5, 28, 6
113, 0, 36, 7, 31, 3
114, 0, 36, 7, 30, 4
115, 0, 38, 5, 29, 5
116, 0, 38, 5, 28, 6
117, 1, 41, 2, 23, 11
118, 1, 39, 4, 21, 13
119, 0, 37, 6, 19, 15
120, 0, 35, 8, 27, 7
121, 0, 37, 6, 32, 2
122, 1, 33, 10, 32, 2
123, 0, 37, 6, 30, 4
124, 0, 37, 6, 30, 4
125, 0, 35, 8, 28, 6
126, 0, 34, 9, 25, 9
127, 0, 40, 3, 25, 9
128, 0, 39, 4, 31, 3
129, 0, 43, 0, 34, 0
130, 0, 41, 2, 34, 0
131, 0, 27, 16, 33, 1
132, 0, 24, 19, 33, 1
133, 0, 41, 2, 32, 2
134, 0, 21, 22, 33, 1
135, 0, 43, 0, 34, 0
136, 0, 43, 0, 34, 0
137, 1, 42, 1, 34, 0
138, 1, 43, 0, 34, 0
139, 1, 43, 0, 34, 0
140, 1, 42, 1, 34, 0
141, 1, 43, 0, 34, 0
142, 1, 43, 0, 34, 0
143, 1, 43, 0, 34, 0
144, 1, 42, 1, 34, 0
145, 0, 43, 0, 0, 34
146, 0, 43, 0, 0, 34
147, 1, 43, 0, 34, 0
148, 1, 43, 0, 34, 0
149, 1, 43, 0, 34, 0
150, 1, 43, 0, 34, 0
151, 1, 43, 0, 34, 0
152, 1, 43, 0, 34, 0
