sample_index, landmark_index, pred, ww, wm, mm, mw
112_2, 1, 1, 0, 35, 43, 0
112_2, 2, 1, 0, 35, 43, 0
112_2, 3, 1, 0, 35, 43, 0
112_2, 4, 1, 0, 35, 43, 0
112_2, 5, 1, 0, 35, 43, 0
112_2, 6, 1, 0, 35, 43, 0
112_2, 7, 1, 0, 35, 43, 0
112_2, 8, 1, 0, 35, 43, 0
112_2, 9, 1, 0, 35, 43, 0
112_2, 10, 1, 0, 35, 43, 0
112_2, 11, 0, 35, 0, 43, 0
112_2, 12, 0, 35, 0, 43, 0
112_2, 13, 0, 35, 0, 43, 0
112_2, 14, 0, 35, 0, 43, 0
112_2, 15, 0, 35, 0, 43, 0
112_2, 16, 0, 35, 0, 43, 0
112_2, 17, 0, 35, 0, 42, 1
112_2, 18, 0, 33, 2, 43, 0
112_2, 19, 0, 34, 1, 37, 6
112_2, 20, 0, 33, 2, 33, 10
112_2, 21, 0, 34, 1, 36, 7
112_2, 22, 0, 34, 1, 37, 6
112_2, 23, 0, 32, 3, 42, 1
112_2, 24, 0, 35, 0, 42, 1
112_2, 25, 0, 33, 2, 37, 6
112_2, 26, 0, 29, 6, 36, 7
112_2, 27, 0, 23, 12, 31, 12
112_2, 28, 0, 25, 10, 25, 18
112_2, 29, 0, 23, 12, 25, 18
112_2, 30, 1, 28, 7, 25, 18
112_2, 31, 1, 27, 8, 23, 20
112_2, 32, 0, 4, 31, 31, 12
112_2, 33, 1, 25, 10, 34, 9
112_2, 34, 1, 24, 11, 26, 17
112_2, 35, 1, 11, 24, 38, 5
112_2, 36, 0, 32, 3, 5, 38
112_2, 37, 0, 14, 21, 29, 14
112_2, 38, 0, 7, 28, 40, 3
112_2, 39, 1, 15, 20, 36, 7
112_2, 40, 0, 29, 6, 25, 18
112_2, 41, 0, 25, 10, 33, 10
112_2, 42, 1, 15, 20, 34, 9
112_2, 43, 0, 27, 8, 23, 20
112_2, 44, 0, 19, 16, 32, 11
112_2, 45, 0, 24, 11, 28, 15
112_2, 46, 0, 22, 13, 31, 12
112_2, 47, 0, 28, 7, 28, 15
112_2, 48, 0, 24, 11, 28, 15
112_2, 49, 0, 26, 9, 35, 8
112_2, 50, 0, 23, 12, 33, 10
112_2, 51, 0, 18, 17, 36, 7
112_2, 52, 0, 15, 20, 38, 5
112_2, 53, 0, 26, 9, 33, 10
112_2, 54, 0, 26, 9, 31, 12
112_2, 55, 0, 24, 11, 34, 9
112_2, 56, 0, 18, 17, 37, 6
112_2, 57, 0, 24, 11, 30, 13
112_2, 58, 0, 23, 12, 35, 8
112_2, 59, 0, 16, 19, 36, 7
112_2, 60, 1, 14, 21, 39, 4
112_2, 61, 0, 24, 11, 29, 14
112_2, 62, 0, 27, 8, 32, 11
112_2, 63, 0, 28, 7, 34, 9
112_2, 64, 0, 20, 15, 35, 8
112_2, 65, 0, 21, 14, 35, 8
112_2, 66, 0, 12, 23, 40, 3
112_2, 67, 0, 13, 22, 40, 3
112_2, 68, 1, 13, 22, 40, 3
112_2, 69, 1, 21, 14, 34, 9
112_2, 70, 0, 22, 13, 31, 12
112_2, 71, 0, 21, 14, 32, 11
112_2, 72, 0, 22, 13, 36, 7
112_2, 73, 0, 18, 17, 32, 11
112_2, 74, 0, 14, 21, 38, 5
112_2, 75, 0, 11, 24, 39, 4
112_2, 76, 1, 11, 24, 42, 1
112_2, 77, 1, 13, 22, 36, 7
112_2, 78, 1, 18, 17, 30, 13
112_2, 79, 0, 25, 10, 33, 10
112_2, 80, 1, 12, 23, 40, 3
112_2, 81, 0, 20, 15, 34, 9
112_2, 82, 0, 19, 16, 36, 7
112_2, 83, 0, 21, 14, 32, 11
112_2, 84, 1, 11, 24, 41, 2
112_2, 85, 0, 21, 14, 32, 11
112_2, 86, 1, 20, 15, 35, 8
112_2, 87, 0, 25, 10, 32, 11
112_2, 88, 1, 21, 14, 34, 9
112_2, 89, 0, 21, 14, 30, 13
112_2, 90, 0, 20, 15, 32, 11
112_2, 91, 0, 19, 16, 39, 4
112_2, 92, 1, 15, 20, 36, 7
112_2, 93, 1, 18, 17, 32, 11
112_2, 94, 1, 20, 15, 29, 14
112_2, 95, 0, 24, 11, 32, 11
112_2, 96, 1, 17, 18, 37, 6
112_2, 97, 0, 23, 12, 28, 15
112_2, 98, 0, 28, 7, 28, 15
112_2, 99, 0, 13, 22, 40, 3
112_2, 100, 0, 24, 11, 30, 13
112_2, 101, 0, 21, 14, 32, 11
112_2, 102, 1, 25, 10, 29, 14
112_2, 103, 0, 28, 7, 29, 14
112_2, 104, 0, 16, 19, 37, 6
112_2, 105, 0, 26, 9, 28, 15
112_2, 106, 0, 25, 10, 27, 16
112_2, 107, 0, 24, 11, 28, 15
112_2, 108, 0, 24, 11, 30, 13
112_2, 109, 0, 21, 14, 34, 9
112_2, 110, 0, 18, 17, 39, 4
112_2, 111, 0, 22, 13, 31, 12
112_2, 112, 0, 25, 10, 24, 19
112_2, 113, 0, 25, 10, 36, 7
112_2, 114, 0, 20, 15, 37, 6
112_2, 115, 0, 18, 17, 23, 20
112_2, 116, 0, 16, 19, 28, 15
112_2, 117, 0, 21, 14, 26, 17
112_2, 118, 0, 10, 25, 40, 3
112_2, 119, 0, 24, 11, 19, 24
112_2, 120, 0, 19, 16, 25, 18
112_2, 121, 1, 8, 27, 29, 14
112_2, 122, 1, 4, 31, 38, 5
112_2, 123, 0, 25, 10, 27, 16
112_2, 124, 0, 32, 3, 34, 9
112_2, 125, 1, 0, 35, 43, 0
112_2, 126, 1, 3, 32, 41, 2
112_2, 127, 0, 28, 7, 32, 11
112_2, 128, 0, 30, 5, 31, 12
112_2, 129, 0, 33, 2, 42, 1
112_2, 130, 0, 31, 4, 42, 1
112_2, 131, 0, 34, 1, 40, 3
112_2, 132, 0, 34, 1, 38, 5
112_2, 133, 0, 34, 1, 37, 6
112_2, 134, 1, 1, 34, 43, 0
112_2, 135, 0, 35, 0, 36, 7
112_2, 136, 0, 34, 1, 38, 5
112_2, 137, 0, 35, 0, 43, 0
112_2, 138, 0, 35, 0, 43, 0
112_2, 139, 0, 34, 1, 43, 0
112_2, 140, 0, 34, 1, 43, 0
112_2, 141, 0, 34, 1, 43, 0
112_2, 142, 0, 35, 0, 43, 0
112_2, 143, 0, 35, 0, 43, 0
112_2, 144, 0, 35, 0, 43, 0
112_2, 145, 1, 0, 35, 43, 0
112_2, 146, 1, 0, 35, 43, 0
112_2, 147, 0, 35, 0, 43, 0
112_2, 148, 0, 35, 0, 43, 0
112_2, 149, 0, 35, 0, 43, 0
112_2, 150, 0, 35, 0, 43, 0
112_2, 151, 0, 35, 0, 43, 0
112_2, 152, 0, 35, 0, 43, 0
