sample_index, landmark_index, pred, ww, wm, mm, mw
128, 1, 1, 0, 35, 43, 0
128, 2, 1, 0, 35, 43, 0
128, 3, 1, 0, 35, 43, 0
128, 4, 1, 0, 35, 43, 0
128, 5, 1, 0, 35, 43, 0
128, 6, 1, 0, 35, 43, 0
128, 7, 1, 0, 35, 43, 0
128, 8, 1, 0, 35, 43, 0
128, 9, 1, 0, 35, 43, 0
128, 10, 1, 0, 35, 43, 0
128, 11, 1, 35, 0, 43, 0
128, 12, 1, 35, 0, 43, 0
128, 13, 1, 35, 0, 43, 0
128, 14, 1, 35, 0, 43, 0
128, 15, 1, 35, 0, 43, 0
128, 16, 1, 35, 0, 43, 0
128, 17, 1, 35, 0, 42, 1
128, 18, 1, 33, 2, 43, 0
128, 19, 1, 34, 1, 37, 6
128, 20, 1, 33, 2, 33, 10
128, 21, 1, 34, 1, 36, 7
128, 22, 1, 34, 1, 37, 6
128, 23, 1, 32, 3, 42, 1
128, 24, 1, 35, 0, 42, 1
128, 25, 1, 33, 2, 37, 6
128, 26, 1, 29, 6, 36, 7
128, 27, 1, 23, 12, 31, 12
128, 28, 0, 25, 10, 25, 18
128, 29, 1, 23, 12, 25, 18
128, 30, 1, 28, 7, 25, 18
128, 31, 1, 27, 8, 23, 20
128, 32, 1, 4, 31, 31, 12
128, 33, 1, 25, 10, 34, 9
128, 34, 1, 24, 11, 26, 17
128, 35, 0, 11, 24, 38, 5
128, 36, 1, 32, 3, 5, 38
128, 37, 1, 14, 21, 29, 14
128, 38, 1, 7, 28, 40, 3
128, 39, 0, 15, 20, 36, 7
128, 40, 1, 29, 6, 25, 18
128, 41, 1, 25, 10, 33, 10
128, 42, 1, 15, 20, 34, 9
128, 43, 1, 27, 8, 23, 20
128, 44, 1, 19, 16, 32, 11
128, 45, 1, 24, 11, 28, 15
128, 46, 1, 22, 13, 31, 12
128, 47, 0, 28, 7, 28, 15
128, 48, 1, 24, 11, 28, 15
128, 49, 1, 26, 9, 35, 8
128, 50, 1, 23, 12, 33, 10
128, 51, 1, 18, 17, 36, 7
128, 52, 1, 15, 20, 38, 5
128, 53, 1, 26, 9, 33, 10
128, 54, 1, 26, 9, 31, 12
128, 55, 1, 24, 11, 34, 9
128, 56, 1, 18, 17, 37, 6
128, 57, 1, 24, 11, 30, 13
128, 58, 1, 23, 12, 35, 8
128, 59, 1, 16, 19, 36, 7
128, 60, 1, 14, 21, 39, 4
128, 61, 1, 24, 11, 29, 14
128, 62, 1, 27, 8, 32, 11
128, 63, 1, 28, 7, 34, 9
128, 64, 1, 20, 15, 35, 8
128, 65, 1, 21, 14, 35, 8
128, 66, 1, 12, 23, 40, 3
128, 67, 1, 13, 22, 40, 3
128, 68, 1, 13, 22, 40, 3
128, 69, 1, 21, 14, 34, 9
128, 70, 1, 22, 13, 31, 12
128, 71, 1, 21, 14, 32, 11
128, 72, 1, 22, 13, 36, 7
128, 73, 1, 18, 17, 32, 11
128, 74, 1, 14, 21, 38, 5
128, 75, 1, 11, 24, 39, 4
128, 76, 1, 11, 24, 42, 1
128, 77, 1, 13, 22, 36, 7
128, 78, 1, 18, 17, 30, 13
128, 79, 1, 25, 10, 33, 10
128, 80, 1, 12, 23, 40, 3
128, 81, 1, 20, 15, 34, 9
128, 82, 1, 19, 16, 36, 7
128, 83, 0, 21, 14, 32, 11
128, 84, 1, 11, 24, 41, 2
128, 85, 0, 21, 14, 32, 11
128, 86, 1, 20, 15, 35, 8
128, 87, 1, 25, 10, 32, 11
128, 88, 1, 21, 14, 34, 9
128, 89, 1, 21, 14, 30, 13
128, 90, 1, 20, 15, 32, 11
128, 91, 1, 19, 16, 39, 4
128, 92, 1, 15, 20, 36, 7
128, 93, 1, 18, 17, 32, 11
128, 94, 1, 20, 15, 29, 14
128, 95, 1, 24, 11, 32, 11
128, 96, 1, 17, 18, 37, 6
128, 97, 1, 23, 12, 28, 15
128, 98, 1, 28, 7, 28, 15
128, 99, 1, 13, 22, 40, 3
128, 100, 1, 24, 11, 30, 13
128, 101, 1, 21, 14, 32, 11
128, 102, 1, 25, 10, 29, 14
128, 103, 1, 28, 7, 29, 14
128, 104, 1, 16, 19, 37, 6
128, 105, 1, 26, 9, 28, 15
128, 106, 1, 25, 10, 27, 16
128, 107, 1, 24, 11, 28, 15
128, 108, 1, 24, 11, 30, 13
128, 109, 1, 21, 14, 34, 9
128, 110, 1, 18, 17, 39, 4
128, 111, 1, 22, 13, 31, 12
128, 112, 1, 25, 10, 24, 19
128, 113, 1, 25, 10, 36, 7
128, 114, 1, 20, 15, 37, 6
128, 115, 1, 18, 17, 23, 20
128, 116, 1, 16, 19, 28, 15
128, 117, 1, 21, 14, 26, 17
128, 118, 1, 10, 25, 40, 3
128, 119, 0, 24, 11, 19, 24
128, 120, 0, 19, 16, 25, 18
128, 121, 0, 8, 27, 29, 14
128, 122, 0, 4, 31, 38, 5
128, 123, 1, 25, 10, 27, 16
128, 124, 1, 32, 3, 34, 9
128, 125, 1, 0, 35, 43, 0
128, 126, 1, 3, 32, 41, 2
128, 127, 0, 28, 7, 32, 11
128, 128, 0, 30, 5, 31, 12
128, 129, 1, 33, 2, 42, 1
128, 130, 1, 31, 4, 42, 1
128, 131, 1, 34, 1, 40, 3
128, 132, 1, 34, 1, 38, 5
128, 133, 1, 34, 1, 37, 6
128, 134, 1, 1, 34, 43, 0
128, 135, 1, 35, 0, 36, 7
128, 136, 1, 34, 1, 38, 5
128, 137, 1, 35, 0, 43, 0
128, 138, 1, 35, 0, 43, 0
128, 139, 1, 34, 1, 43, 0
128, 140, 1, 34, 1, 43, 0
128, 141, 1, 34, 1, 43, 0
128, 142, 1, 35, 0, 43, 0
128, 143, 1, 35, 0, 43, 0
128, 144, 1, 35, 0, 43, 0
128, 145, 1, 0, 35, 43, 0
128, 146, 1, 0, 35, 43, 0
128, 147, 1, 35, 0, 43, 0
128, 148, 1, 35, 0, 43, 0
128, 149, 1, 35, 0, 43, 0
128, 150, 1, 35, 0, 43, 0
128, 151, 1, 35, 0, 43, 0
128, 152, 1, 35, 0, 43, 0
