sample_index, landmark_index, pred, ww, wm, mm, mw
112_1, 1, 1, 0, 35, 43, 0
112_1, 2, 1, 0, 35, 43, 0
112_1, 3, 1, 0, 35, 43, 0
112_1, 4, 1, 0, 35, 43, 0
112_1, 5, 1, 0, 35, 43, 0
112_1, 6, 1, 0, 35, 43, 0
112_1, 7, 1, 0, 35, 43, 0
112_1, 8, 1, 0, 35, 43, 0
112_1, 9, 1, 0, 35, 43, 0
112_1, 10, 1, 0, 35, 43, 0
112_1, 11, 1, 35, 0, 43, 0
112_1, 12, 1, 35, 0, 43, 0
112_1, 13, 1, 35, 0, 43, 0
112_1, 14, 1, 35, 0, 43, 0
112_1, 15, 1, 35, 0, 43, 0
112_1, 16, 1, 35, 0, 43, 0
112_1, 17, 1, 35, 0, 42, 1
112_1, 18, 1, 33, 2, 43, 0
112_1, 19, 1, 34, 1, 37, 6
112_1, 20, 1, 33, 2, 33, 10
112_1, 21, 1, 34, 1, 36, 7
112_1, 22, 1, 34, 1, 37, 6
112_1, 23, 1, 32, 3, 42, 1
112_1, 24, 1, 35, 0, 42, 1
112_1, 25, 1, 33, 2, 37, 6
112_1, 26, 1, 29, 6, 36, 7
112_1, 27, 0, 23, 12, 31, 12
112_1, 28, 0, 25, 10, 25, 18
112_1, 29, 0, 23, 12, 25, 18
112_1, 30, 0, 28, 7, 25, 18
112_1, 31, 0, 27, 8, 23, 20
112_1, 32, 1, 4, 31, 31, 12
112_1, 33, 0, 25, 10, 34, 9
112_1, 34, 1, 24, 11, 26, 17
112_1, 35, 1, 11, 24, 38, 5
112_1, 36, 0, 32, 3, 5, 38
112_1, 37, 0, 14, 21, 29, 14
112_1, 38, 1, 7, 28, 40, 3
112_1, 39, 1, 15, 20, 36, 7
112_1, 40, 0, 29, 6, 25, 18
112_1, 41, 0, 25, 10, 33, 10
112_1, 42, 1, 15, 20, 34, 9
112_1, 43, 0, 27, 8, 23, 20
112_1, 44, 0, 19, 16, 32, 11
112_1, 45, 0, 24, 11, 28, 15
112_1, 46, 1, 22, 13, 31, 12
112_1, 47, 1, 28, 7, 28, 15
112_1, 48, 1, 24, 11, 28, 15
112_1, 49, 1, 26, 9, 35, 8
112_1, 50, 1, 23, 12, 33, 10
112_1, 51, 0, 18, 17, 36, 7
112_1, 52, 0, 15, 20, 38, 5
112_1, 53, 0, 26, 9, 33, 10
112_1, 54, 1, 26, 9, 31, 12
112_1, 55, 1, 24, 11, 34, 9
112_1, 56, 1, 18, 17, 37, 6
112_1, 57, 0, 24, 11, 30, 13
112_1, 58, 1, 23, 12, 35, 8
112_1, 59, 1, 16, 19, 36, 7
112_1, 60, 1, 14, 21, 39, 4
112_1, 61, 0, 24, 11, 29, 14
112_1, 62, 0, 27, 8, 32, 11
112_1, 63, 1, 28, 7, 34, 9
112_1, 64, 1, 20, 15, 35, 8
112_1, 65, 1, 21, 14, 35, 8
112_1, 66, 1, 12, 23, 40, 3
112_1, 67, 1, 13, 22, 40, 3
112_1, 68, 1, 13, 22, 40, 3
112_1, 69, 0, 21, 14, 34, 9
112_1, 70, 1, 22, 13, 31, 12
112_1, 71, 1, 21, 14, 32, 11
112_1, 72, 1, 22, 13, 36, 7
112_1, 73, 1, 18, 17, 32, 11
112_1, 74, 1, 14, 21, 38, 5
112_1, 75, 1, 11, 24, 39, 4
112_1, 76, 1, 11, 24, 42, 1
112_1, 77, 1, 13, 22, 36, 7
112_1, 78, 0, 18, 17, 30, 13
112_1, 79, 1, 25, 10, 33, 10
112_1, 80, 1, 12, 23, 40, 3
112_1, 81, 1, 20, 15, 34, 9
112_1, 82, 1, 19, 16, 36, 7
112_1, 83, 1, 21, 14, 32, 11
112_1, 84, 1, 11, 24, 41, 2
112_1, 85, 1, 21, 14, 32, 11
112_1, 86, 1, 20, 15, 35, 8
112_1, 87, 1, 25, 10, 32, 11
112_1, 88, 1, 21, 14, 34, 9
112_1, 89, 1, 21, 14, 30, 13
112_1, 90, 1, 20, 15, 32, 11
112_1, 91, 1, 19, 16, 39, 4
112_1, 92, 1, 15, 20, 36, 7
112_1, 93, 1, 18, 17, 32, 11
112_1, 94, 1, 20, 15, 29, 14
112_1, 95, 1, 24, 11, 32, 11
112_1, 96, 1, 17, 18, 37, 6
112_1, 97, 1, 23, 12, 28, 15
112_1, 98, 1, 28, 7, 28, 15
112_1, 99, 1, 13, 22, 40, 3
112_1, 100, 1, 24, 11, 30, 13
112_1, 101, 1, 21, 14, 32, 11
112_1, 102, 1, 25, 10, 29, 14
112_1, 103, 1, 28, 7, 29, 14
112_1, 104, 1, 16, 19, 37, 6
112_1, 105, 1, 26, 9, 28, 15
112_1, 106, 1, 25, 10, 27, 16
112_1, 107, 1, 24, 11, 28, 15
112_1, 108, 1, 24, 11, 30, 13
112_1, 109, 1, 21, 14, 34, 9
112_1, 110, 1, 18, 17, 39, 4
112_1, 111, 1, 22, 13, 31, 12
112_1, 112, 1, 25, 10, 24, 19
112_1, 113, 1, 25, 10, 36, 7
112_1, 114, 1, 20, 15, 37, 6
112_1, 115, 0, 18, 17, 23, 20
112_1, 116, 1, 16, 19, 28, 15
112_1, 117, 1, 21, 14, 26, 17
112_1, 118, 1, 10, 25, 40, 3
112_1, 119, 1, 24, 11, 19, 24
112_1, 120, 0, 19, 16, 25, 18
112_1, 121, 0, 8, 27, 29, 14
112_1, 122, 1, 4, 31, 38, 5
112_1, 123, 1, 25, 10, 27, 16
112_1, 124, 1, 32, 3, 34, 9
112_1, 125, 1, 0, 35, 43, 0
112_1, 126, 1, 3, 32, 41, 2
112_1, 127, 1, 28, 7, 32, 11
112_1, 128, 0, 30, 5, 31, 12
112_1, 129, 1, 33, 2, 42, 1
112_1, 130, 1, 31, 4, 42, 1
112_1, 131, 1, 34, 1, 40, 3
112_1, 132, 0, 34, 1, 38, 5
112_1, 133, 0, 34, 1, 37, 6
112_1, 134, 1, 1, 34, 43, 0
112_1, 135, 1, 35, 0, 36, 7
112_1, 136, 1, 34, 1, 38, 5
112_1, 137, 1, 35, 0, 43, 0
112_1, 138, 1, 35, 0, 43, 0
112_1, 139, 1, 34, 1, 43, 0
112_1, 140, 1, 34, 1, 43, 0
112_1, 141, 1, 34, 1, 43, 0
112_1, 142, 1, 35, 0, 43, 0
112_1, 143, 1, 35, 0, 43, 0
112_1, 144, 1, 35, 0, 43, 0
112_1, 145, 1, 0, 35, 43, 0
112_1, 146, 1, 0, 35, 43, 0
112_1, 147, 1, 35, 0, 43, 0
112_1, 148, 1, 35, 0, 43, 0
112_1, 149, 1, 35, 0, 43, 0
112_1, 150, 1, 35, 0, 43, 0
112_1, 151, 1, 35, 0, 43, 0
112_1, 152, 1, 35, 0, 43, 0
