sample_index, landmark_index, pred, ww, wm, mm, mw
317, 1, 1, 0, 35, 43, 0
317, 2, 1, 0, 35, 43, 0
317, 3, 1, 0, 35, 43, 0
317, 4, 1, 0, 35, 43, 0
317, 5, 1, 0, 35, 43, 0
317, 6, 1, 0, 35, 43, 0
317, 7, 1, 0, 35, 43, 0
317, 8, 1, 0, 35, 43, 0
317, 9, 1, 0, 35, 43, 0
317, 10, 1, 0, 35, 43, 0
317, 11, 0, 35, 0, 43, 0
317, 12, 0, 35, 0, 43, 0
317, 13, 0, 35, 0, 43, 0
317, 14, 0, 35, 0, 43, 0
317, 15, 0, 35, 0, 43, 0
317, 16, 0, 35, 0, 43, 0
317, 17, 0, 35, 0, 42, 1
317, 18, 0, 33, 2, 43, 0
317, 19, 0, 34, 1, 37, 6
317, 20, 0, 33, 2, 33, 10
317, 21, 0, 34, 1, 36, 7
317, 22, 0, 34, 1, 37, 6
317, 23, 0, 32, 3, 42, 1
317, 24, 0, 35, 0, 42, 1
317, 25, 0, 33, 2, 37, 6
317, 26, 0, 29, 6, 36, 7
317, 27, 0, 23, 12, 31, 12
317, 28, 0, 25, 10, 25, 18
317, 29, 0, 23, 12, 25, 18
317, 30, 0, 28, 7, 25, 18
317, 31, 0, 27, 8, 23, 20
317, 32, 1, 4, 31, 31, 12
317, 33, 0, 25, 10, 34, 9
317, 34, 0, 24, 11, 26, 17
317, 35, 0, 11, 24, 38, 5
317, 36, 0, 32, 3, 5, 38
317, 37, 1, 14, 21, 29, 14
317, 38, 1, 7, 28, 40, 3
317, 39, 0, 15, 20, 36, 7
317, 40, 0, 29, 6, 25, 18
317, 41, 0, 25, 10, 33, 10
317, 42, 0, 15, 20, 34, 9
317, 43, 0, 27, 8, 23, 20
317, 44, 0, 19, 16, 32, 11
317, 45, 0, 24, 11, 28, 15
317, 46, 0, 22, 13, 31, 12
317, 47, 0, 28, 7, 28, 15
317, 48, 0, 24, 11, 28, 15
317, 49, 1, 26, 9, 35, 8
317, 50, 1, 23, 12, 33, 10
317, 51, 1, 18, 17, 36, 7
317, 52, 1, 15, 20, 38, 5
317, 53, 0, 26, 9, 33, 10
317, 54, 0, 26, 9, 31, 12
317, 55, 0, 24, 11, 34, 9
317, 56, 0, 18, 17, 37, 6
317, 57, 1, 24, 11, 30, 13
317, 58, 0, 23, 12, 35, 8
317, 59, 0, 16, 19, 36, 7
317, 60, 1, 14, 21, 39, 4
317, 61, 1, 24, 11, 29, 14
317, 62, 0, 27, 8, 32, 11
317, 63, 0, 28, 7, 34, 9
317, 64, 1, 20, 15, 35, 8
317, 65, 1, 21, 14, 35, 8
317, 66, 1, 12, 23, 40, 3
317, 67, 1, 13, 22, 40, 3
317, 68, 1, 13, 22, 40, 3
317, 69, 1, 21, 14, 34, 9
317, 70, 0, 22, 13, 31, 12
317, 71, 1, 21, 14, 32, 11
317, 72, 1, 22, 13, 36, 7
317, 73, 1, 18, 17, 32, 11
317, 74, 0, 14, 21, 38, 5
317, 75, 1, 11, 24, 39, 4
317, 76, 1, 11, 24, 42, 1
317, 77, 0, 13, 22, 36, 7
317, 78, 0, 18, 17, 30, 13
317, 79, 0, 25, 10, 33, 10
317, 80, 1, 12, 23, 40, 3
317, 81, 1, 20, 15, 34, 9
317, 82, 1, 19, 16, 36, 7
317, 83, 0, 21, 14, 32, 11
317, 84, 1, 11, 24, 41, 2
317, 85, 1, 21, 14, 32, 11
317, 86, 1, 20, 15, 35, 8
317, 87, 1, 25, 10, 32, 11
