sample_index, landmark_index, pred, type0_0, type0_1, type1_1, type1_0
2,1,1,0,35,43,0
2,2,1,0,35,43,0
2,3,1,0,35,43,0
2,4,1,0,35,43,0
2,5,1,0,35,43,0
2,6,1,0,35,43,0
2,7,1,0,35,43,0
2,8,1,0,35,43,0
2,9,1,0,35,43,0
2,10,1,0,35,43,0
2,11,0,35,0,43,0
2,12,0,35,0,43,0
2,13,0,35,0,43,0
2,14,0,35,0,43,0
2,15,0,35,0,43,0
2,16,0,35,0,43,0
2,17,0,35,0,42,1
2,18,0,33,2,43,0
2,19,0,34,1,37,6
2,20,0,33,2,33,10
2,21,0,34,1,36,7
2,22,0,34,1,37,6
2,23,0,32,3,42,1
2,24,0,35,0,42,1
2,25,1,33,2,37,6
2,26,1,29,6,36,7
2,27,1,23,12,31,12
2,28,1,25,10,25,18
2,29,1,23,12,25,18
2,30,0,28,7,25,18
2,31,1,27,8,23,20
2,32,1,4,31,31,12
2,33,1,25,10,34,9
2,34,1,24,11,26,17
2,35,1,11,24,38,5
2,36,0,32,3,5,38
2,37,0,14,21,29,14
2,38,1,7,28,40,3
2,39,1,15,20,36,7
2,40,1,29,6,25,18
2,41,0,25,10,33,10
2,42,0,15,20,34,9
2,43,1,27,8,23,20
2,44,0,19,16,32,11
2,45,0,24,11,28,15
2,46,0,22,13,31,12
2,47,0,28,7,28,15
2,48,0,24,11,28,15
2,49,0,26,9,35,8
2,50,0,23,12,33,10
2,51,1,18,17,36,7
2,52,1,15,20,38,5
2,53,0,26,9,33,10
2,54,0,26,9,31,12
2,55,0,24,11,34,9
2,56,0,18,17,37,6
2,57,0,24,11,30,13
2,58,0,23,12,35,8
2,59,0,16,19,36,7
2,60,0,14,21,39,4
2,61,0,24,11,29,14
2,62,0,27,8,32,11
2,63,0,28,7,34,9
2,64,0,20,15,35,8
2,65,0,21,14,35,8
2,66,0,12,23,40,3
2,67,0,13,22,40,3
2,68,1,13,22,40,3
2,69,0,21,14,34,9
2,70,1,22,13,31,12
2,71,1,21,14,32,11
2,72,0,22,13,36,7
2,73,0,18,17,32,11
2,74,1,14,21,38,5
2,75,0,11,24,39,4
2,76,0,11,24,42,1
2,77,1,13,22,36,7
2,78,1,18,17,30,13
2,79,0,25,10,33,10
2,80,1,12,23,40,3
2,81,0,20,15,34,9
2,82,0,19,16,36,7
2,83,0,21,14,32,11
2,84,1,11,24,41,2
2,85,0,21,14,32,11
2,86,1,20,15,35,8
2,87,0,25,10,32,11
2,88,0,21,14,34,9
2,89,0,21,14,30,13
2,90,1,20,15,32,11
2,91,0,19,16,39,4
2,92,1,15,20,36,7
2,93,0,18,17,32,11
2,94,1,20,15,29,14
2,95,1,24,11,32,11
2,96,1,17,18,37,6
2,97,0,23,12,28,15
2,98,0,28,7,28,15
2,99,0,13,22,40,3
2,100,0,24,11,30,13
2,101,1,21,14,32,11
2,102,0,25,10,29,14
2,103,0,28,7,29,14
2,104,1,16,19,37,6
2,105,0,26,9,28,15
2,106,0,25,10,27,16
2,107,0,24,11,28,15
2,108,0,24,11,30,13
2,109,0,21,14,34,9
2,110,1,18,17,39,4
2,111,1,22,13,31,12
2,112,0,25,10,24,19
2,113,0,25,10,36,7
2,114,0,20,15,37,6
2,115,0,18,17,23,20
2,116,0,16,19,28,15
2,117,0,21,14,26,17
2,118,1,10,25,40,3
2,119,0,24,11,19,24
2,120,0,19,16,25,18
2,121,1,8,27,29,14
2,122,1,4,31,38,5
2,123,0,25,10,27,16
2,124,0,32,3,34,9
2,125,1,0,35,43,0
2,126,1,3,32,41,2
2,127,0,28,7,32,11
2,128,0,30,5,31,12
2,129,0,33,2,42,1
2,130,0,31,4,42,1
2,131,0,34,1,40,3
2,132,0,34,1,38,5
2,133,0,34,1,37,6
2,134,1,1,34,43,0
2,135,0,35,0,36,7
2,136,0,34,1,38,5
2,137,0,35,0,43,0
2,138,0,35,0,43,0
2,139,0,34,1,43,0
2,140,0,34,1,43,0
2,141,0,34,1,43,0
2,142,0,35,0,43,0
2,143,0,35,0,43,0
2,144,0,35,0,43,0
2,145,1,0,35,43,0
2,146,1,0,35,43,0
2,147,0,35,0,43,0
2,148,0,35,0,43,0
2,149,0,35,0,43,0
2,150,0,35,0,43,0
2,151,0,35,0,43,0
2,152,0,35,0,43,0
