type0_f1,type0_precision,type0_recall,type0_support,type1_f1,type1_precision,type1_recall,type1_support,f1,landmark_index,type1_1,type1_0,precision,pred,recall,sample_index,type0_1,type0_0
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,1,0,35,0.297520661,0,0.545454545,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,2,0,35,0.297520661,0,0.545454545,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,3,0,35,0.297520661,0,0.545454545,113,0,42
1,1,1,42,1,1,1,35,1,4,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,5,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,6,35,0,1,0,1,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,7,0,35,0.297520661,0,0.545454545,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,8,0,35,0.297520661,0,0.545454545,113,0,42
1,1,1,42,1,1,1,35,1,9,35,0,1,0,1,113,0,42
1,1,1,42,1,1,1,35,1,10,35,0,1,0,1,113,0,42
0.963855422,0.975609756,0.952380952,42,0.957746479,0.944444444,0.971428571,35,0.961078629,11,34,1,0.961443705,0,0.961038961,113,2,40
1,1,1,42,1,1,1,35,1,12,35,0,1,0,1,113,0,42
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,13,34,1,0.987315011,0,0.987012987,113,0,42
0.925,0.973684211,0.880952381,42,0.918918919,0.871794872,0.971428571,35,0.922235872,14,34,1,0.927370875,0,0.922077922,113,5,37
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,15,34,1,0.987315011,0,0.987012987,113,0,42
0.705882353,0.545454545,1,42,0,0,0,35,0.385026738,16,0,35,0.297520661,0,0.545454545,113,0,42
0.925,0.973684211,0.880952381,42,0.918918919,0.871794872,0.971428571,35,0.922235872,17,34,1,0.927370875,0,0.922077922,113,5,37
0.951219512,0.975,0.928571429,42,0.944444444,0.918918919,0.971428571,35,0.948139936,18,34,1,0.9495086,0,0.948051948,113,3,39
0.739726027,0.870967742,0.642857143,42,0.765432099,0.673913043,0.885714286,35,0.751410605,19,31,4,0.781397424,0,0.753246753,113,15,27
0.695652174,0.888888889,0.571428571,42,0.752941176,0.64,0.914285714,35,0.72169263,20,32,3,0.775757576,0,0.727272727,113,18,24
0.915662651,0.926829268,0.904761905,42,0.901408451,0.888888889,0.914285714,35,0.909183469,21,32,3,0.909583641,0,0.909090909,113,4,38
0.954545455,0.913043478,1,42,0.939393939,1,0.885714286,35,0.947658402,22,31,4,0.95256917,0,0.948051948,113,0,42
0.976744186,0.954545455,1,42,0.970588235,1,0.942857143,35,0.973946027,23,33,2,0.975206612,0,0.974025974,113,0,42
0.976190476,0.976190476,0.976190476,42,0.971428571,0.971428571,0.971428571,35,0.974025974,24,34,1,0.974025974,0,0.974025974,113,1,41
0.784810127,0.837837838,0.738095238,42,0.773333333,0.725,0.828571429,35,0.779593402,25,29,6,0.786547912,0,0.779220779,113,11,31
0.829268293,0.85,0.80952381,42,0.805555556,0.783783784,0.828571429,35,0.818489776,26,29,6,0.81990172,0,0.818181818,113,8,34
0.850574713,0.822222222,0.880952381,42,0.805970149,0.84375,0.771428571,35,0.830299911,27,27,8,0.832007576,0,0.831168831,113,5,37
0.840909091,0.804347826,0.880952381,42,0.787878788,0.838709677,0.742857143,35,0.816804408,28,26,9,0.819966849,0,0.818181818,113,5,37
0.827586207,0.8,0.857142857,42,0.776119403,0.8125,0.742857143,35,0.804192205,29,26,9,0.805681818,0,0.805194805,113,6,36
0.785714286,0.785714286,0.785714286,42,0.742857143,0.742857143,0.742857143,35,0.766233766,30,26,9,0.766233766,0,0.766233766,113,9,33
0.891304348,0.82,0.976190476,42,0.838709677,0.962962963,0.742857143,35,0.867397679,31,26,9,0.884983165,0,0.87012987,113,1,41
0.773333333,0.878787879,0.69047619,42,0.784810127,0.704545455,0.885714286,35,0.778550058,32,31,4,0.799586777,0,0.779220779,113,13,29
0.813953488,0.795454545,0.833333333,42,0.764705882,0.787878788,0.742857143,35,0.791568213,33,26,9,0.792011019,0,0.792207792,113,7,35
0.853932584,0.808510638,0.904761905,42,0.8,0.866666667,0.742857143,35,0.829417773,34,26,9,0.834945197,0,0.831168831,113,4,38
0.863636364,0.826086957,0.904761905,42,0.818181818,0.870967742,0.771428571,35,0.842975207,35,27,8,0.846487314,0,0.844155844,113,4,38
0.787234043,0.711538462,0.880952381,42,0.666666667,0.8,0.571428571,35,0.73243069,36,20,15,0.751748252,0,0.74025974,113,5,37
0.823529412,0.813953488,0.833333333,42,0.782608696,0.794117647,0.771428571,35,0.804929086,37,27,8,0.804937197,0,0.805194805,113,7,35
0.778947368,0.698113208,0.880952381,42,0.644067797,0.791666667,0.542857143,35,0.717638472,38,19,16,0.740637507,0,0.727272727,113,5,37
0.787234043,0.711538462,0.880952381,42,0.666666667,0.8,0.571428571,35,0.73243069,39,20,15,0.751748252,0,0.74025974,113,5,37
0.847826087,0.78,0.928571429,42,0.774193548,0.888888889,0.685714286,35,0.814356751,40,24,11,0.829494949,0,0.818181818,113,3,39
0.819277108,0.829268293,0.80952381,42,0.788732394,0.777777778,0.8,35,0.805393147,41,28,7,0.805863513,0,0.805194805,113,8,34
0.813953488,0.795454545,0.833333333,42,0.764705882,0.787878788,0.742857143,35,0.791568213,42,26,9,0.792011019,1,0.792207792,113,7,35
0.729411765,0.720930233,0.738095238,42,0.666666667,0.676470588,0.657142857,35,0.700891266,43,23,12,0.700721303,1,0.701298701,113,11,31
0.742268041,0.654545455,0.857142857,42,0.561403509,0.727272727,0.457142857,35,0.66005689,44,16,19,0.687603306,0,0.675324675,113,6,36
0.761904762,0.761904762,0.761904762,42,0.714285714,0.714285714,0.714285714,35,0.74025974,45,25,10,0.74025974,0,0.74025974,113,10,32
0.8,0.790697674,0.80952381,42,0.753623188,0.764705882,0.742857143,35,0.778919631,46,26,9,0.778883223,0,0.779220779,113,8,34
0.822222222,0.770833333,0.880952381,42,0.75,0.827586207,0.685714286,35,0.789393939,47,24,11,0.796630094,0,0.792207792,113,5,37
0.819277108,0.829268293,0.80952381,42,0.788732394,0.777777778,0.8,35,0.805393147,48,28,7,0.805863513,0,0.805194805,113,8,34
0.822222222,0.770833333,0.880952381,42,0.75,0.827586207,0.685714286,35,0.789393939,49,24,11,0.796630094,0,0.792207792,113,5,37
0.791208791,0.734693878,0.857142857,42,0.698412698,0.785714286,0.628571429,35,0.749028749,50,22,13,0.757884972,0,0.753246753,113,6,36
0.785714286,0.785714286,0.785714286,42,0.742857143,0.742857143,0.742857143,35,0.766233766,51,26,9,0.766233766,0,0.766233766,113,9,33
0.790697674,0.772727273,0.80952381,42,0.735294118,0.757575758,0.714285714,35,0.76551424,52,25,10,0.76584022,0,0.766233766,113,8,34
0.840909091,0.804347826,0.880952381,42,0.787878788,0.838709677,0.742857143,35,0.816804408,53,26,9,0.819966849,0,0.818181818,113,5,37
0.714285714,0.714285714,0.714285714,42,0.657142857,0.657142857,0.657142857,35,0.688311688,54,23,12,0.688311688,0,0.688311688,113,12,30
0.75862069,0.733333333,0.785714286,42,0.686567164,0.71875,0.657142857,35,0.725869087,55,23,12,0.726704545,0,0.727272727,113,9,33
0.833333333,0.833333333,0.833333333,42,0.8,0.8,0.8,35,0.818181818,56,28,7,0.818181818,0,0.818181818,113,7,35
0.804123711,0.709090909,0.928571429,42,0.666666667,0.863636364,0.542857143,35,0.741643236,57,19,16,0.779338843,0,0.753246753,113,3,39
0.827586207,0.8,0.857142857,42,0.776119403,0.8125,0.742857143,35,0.804192205,58,26,9,0.805681818,0,0.805194805,113,6,36
0.804123711,0.709090909,0.928571429,42,0.666666667,0.863636364,0.542857143,35,0.741643236,59,19,16,0.779338843,0,0.753246753,113,3,39
0.804347826,0.74,0.880952381,42,0.709677419,0.814814815,0.628571429,35,0.761315823,60,22,13,0.774006734,0,0.766233766,113,5,37
0.80952381,0.80952381,0.80952381,42,0.771428571,0.771428571,0.771428571,35,0.792207792,61,27,8,0.792207792,0,0.792207792,113,8,34
0.813953488,0.795454545,0.833333333,42,0.764705882,0.787878788,0.742857143,35,0.791568213,62,26,9,0.792011019,0,0.792207792,113,7,35
0.734177215,0.783783784,0.69047619,42,0.72,0.675,0.771428571,35,0.727733026,63,27,8,0.734336609,1,0.727272727,113,13,29
0.746987952,0.756097561,0.738095238,42,0.704225352,0.694444444,0.714285714,35,0.727550406,64,25,10,0.728073417,0,0.727272727,113,11,31
0.850574713,0.822222222,0.880952381,42,0.805970149,0.84375,0.771428571,35,0.830299911,65,27,8,0.832007576,0,0.831168831,113,5,37
0.808988764,0.765957447,0.857142857,42,0.738461538,0.8,0.685714286,35,0.776930934,66,24,11,0.781431335,0,0.779220779,113,6,36
0.683544304,0.72972973,0.642857143,42,0.666666667,0.625,0.714285714,35,0.675872651,67,25,10,0.682125307,0,0.675324675,113,15,27
0.736842105,0.660377358,0.833333333,42,0.576271186,0.708333333,0.485714286,35,0.663855324,68,17,18,0.682175529,0,0.675324675,113,7,35
