sample_index,landmark_index,type,pred,type0_0,type0_1,type1_0,type1_1,type0_precision,type0_recall,type0_f1,type0_num,type1_precision,type1_recall,type1_f1,type1_num,overall_precision,overall_recall,overall_f1
113,1,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,2,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,3,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,4,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,5,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,6,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,7,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,8,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,9,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,10,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,11,wt-at,0,40,2,1,34,0.975609756,0.952380952,0.963855422,42,0.944444444,0.971428571,0.957746479,35,0.961443705,0.961038961,0.961078629
113,12,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,13,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
113,14,wt-at,0,37,5,1,34,0.973684211,0.880952381,0.925,42,0.871794872,0.971428571,0.918918919,35,0.927370875,0.922077922,0.922235872
113,15,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
113,16,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,17,wt-at,0,37,5,1,34,0.973684211,0.880952381,0.925,42,0.871794872,0.971428571,0.918918919,35,0.927370875,0.922077922,0.922235872
113,18,wt-at,0,39,3,1,34,0.975,0.928571429,0.951219512,42,0.918918919,0.971428571,0.944444444,35,0.9495086,0.948051948,0.948139936
113,19,wt-at,0,27,15,4,31,0.870967742,0.642857143,0.739726027,42,0.673913043,0.885714286,0.765432099,35,0.781397424,0.753246753,0.751410605
113,20,wt-at,0,24,18,3,32,0.888888889,0.571428571,0.695652174,42,0.64,0.914285714,0.752941176,35,0.775757576,0.727272727,0.72169263
113,21,wt-at,0,38,4,3,32,0.926829268,0.904761905,0.915662651,42,0.888888889,0.914285714,0.901408451,35,0.909583641,0.909090909,0.909183469
113,22,wt-at,0,42,0,4,31,0.913043478,1,0.954545455,42,1,0.885714286,0.939393939,35,0.95256917,0.948051948,0.947658402
113,23,wt-at,0,42,0,2,33,0.954545455,1,0.976744186,42,1,0.942857143,0.970588235,35,0.975206612,0.974025974,0.973946027
113,24,wt-at,0,41,1,1,34,0.976190476,0.976190476,0.976190476,42,0.971428571,0.971428571,0.971428571,35,0.974025974,0.974025974,0.974025974
113,25,wt-at,0,31,11,6,29,0.837837838,0.738095238,0.784810127,42,0.725,0.828571429,0.773333333,35,0.786547912,0.779220779,0.779593402
113,26,wt-at,0,34,8,6,29,0.85,0.80952381,0.829268293,42,0.783783784,0.828571429,0.805555556,35,0.81990172,0.818181818,0.818489776
113,27,wt-at,0,37,5,8,27,0.822222222,0.880952381,0.850574713,42,0.84375,0.771428571,0.805970149,35,0.832007576,0.831168831,0.830299911
113,28,wt-at,0,37,5,9,26,0.804347826,0.880952381,0.840909091,42,0.838709677,0.742857143,0.787878788,35,0.819966849,0.818181818,0.816804408
113,29,wt-at,0,36,6,9,26,0.8,0.857142857,0.827586207,42,0.8125,0.742857143,0.776119403,35,0.805681818,0.805194805,0.804192205
113,30,wt-at,0,33,9,9,26,0.785714286,0.785714286,0.785714286,42,0.742857143,0.742857143,0.742857143,35,0.766233766,0.766233766,0.766233766
113,31,wt-at,0,41,1,9,26,0.82,0.976190476,0.891304348,42,0.962962963,0.742857143,0.838709677,35,0.884983165,0.87012987,0.867397679
113,32,wt-at,0,29,13,4,31,0.878787879,0.69047619,0.773333333,42,0.704545455,0.885714286,0.784810127,35,0.799586777,0.779220779,0.778550058
