,sample_index,landmark_index,pred,type1_1,type1_0,type0_0,type0_1,type1_support,type0_support,type1_precision,type1_recall,type0_precision,type0_recall,type1_f1,type0_f1,precision,recall,f1
0,152,1,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
1,152,2,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
2,152,3,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
3,152,4,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
4,152,5,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
5,152,6,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
6,152,7,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
7,152,8,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
8,152,9,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
9,152,10,0,0,35,43,0,35,43,0.0,0.0,0.551282051,1.0,0.0,0.710743802,0.3039119,0.551282051,0.39182030100000004
10,152,11,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,152,12,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,152,13,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,152,14,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,152,15,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,152,16,1,35,0,43,0,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,152,17,1,35,0,42,1,35,43,0.9722222220000001,1.0,1.0,0.9767441859999999,0.9859154929999999,0.9882352940000001,0.9875356129999999,0.987179487,0.987194358
17,152,18,1,33,2,43,0,35,43,1.0,0.942857143,0.955555556,1.0,0.970588235,0.977272727,0.975498575,0.974358974,0.9742732759999999
18,152,19,1,34,1,37,6,35,43,0.85,0.9714285709999999,0.9736842109999999,0.860465116,0.906666667,0.9135802470000001,0.918184885,0.91025641,0.910477999
19,152,20,1,33,2,33,10,35,43,0.76744186,0.942857143,0.942857143,0.76744186,0.846153846,0.846153846,0.864145157,0.846153846,0.846153846
20,152,21,1,34,1,36,7,35,43,0.8292682929999999,0.9714285709999999,0.972972973,0.837209302,0.894736842,0.9,0.9084901040000001,0.897435897,0.897638327
21,152,22,1,34,1,37,6,35,43,0.85,0.9714285709999999,0.9736842109999999,0.860465116,0.906666667,0.9135802470000001,0.918184885,0.91025641,0.910477999
22,152,23,1,32,3,42,1,35,43,0.96969697,0.914285714,0.933333333,0.9767441859999999,0.9411764709999999,0.954545455,0.94965035,0.9487179490000001,0.948546551
23,152,24,1,35,0,42,1,35,43,0.9722222220000001,1.0,1.0,0.9767441859999999,0.9859154929999999,0.9882352940000001,0.9875356129999999,0.987179487,0.987194358
24,152,25,1,33,2,37,6,35,43,0.846153846,0.942857143,0.9487179490000001,0.860465116,0.8918918920000001,0.9024390240000001,0.902695595,0.897435897,0.897706337
25,152,26,1,29,6,36,7,35,43,0.805555556,0.828571429,0.857142857,0.837209302,0.816901408,0.8470588240000001,0.8339947090000001,0.833333333,0.83352665
