sample_index, landmark_index, pred, ww, wm, mm, mw
134, 1, 1, 0, 35, 43, 0
134, 2, 1, 0, 35, 43, 0
134, 3, 1, 0, 35, 43, 0
134, 4, 1, 0, 35, 43, 0
134, 5, 1, 0, 35, 43, 0
134, 6, 1, 0, 35, 43, 0
134, 7, 1, 0, 35, 43, 0
134, 8, 1, 0, 35, 43, 0
134, 9, 1, 0, 35, 43, 0
134, 10, 1, 0, 35, 43, 0
134, 11, 1, 35, 0, 43, 0
134, 12, 1, 35, 0, 43, 0
134, 13, 1, 35, 0, 43, 0
134, 14, 1, 35, 0, 43, 0
134, 15, 1, 35, 0, 43, 0
134, 16, 1, 35, 0, 43, 0
134, 17, 1, 35, 0, 42, 1
134, 18, 1, 33, 2, 43, 0
134, 19, 1, 34, 1, 37, 6
134, 20, 1, 33, 2, 33, 10
134, 21, 1, 34, 1, 36, 7
134, 22, 1, 34, 1, 37, 6
134, 23, 1, 32, 3, 42, 1
134, 24, 1, 35, 0, 42, 1
134, 25, 0, 33, 2, 37, 6
134, 26, 0, 29, 6, 36, 7
134, 27, 1, 23, 12, 31, 12
134, 28, 1, 25, 10, 25, 18
134, 29, 1, 23, 12, 25, 18
134, 30, 1, 28, 7, 25, 18
134, 31, 1, 27, 8, 23, 20
134, 32, 0, 4, 31, 31, 12
134, 33, 0, 25, 10, 34, 9
134, 34, 1, 24, 11, 26, 17
134, 35, 1, 11, 24, 38, 5
134, 36, 0, 32, 3, 5, 38
134, 37, 0, 14, 21, 29, 14
134, 38, 1, 7, 28, 40, 3
134, 39, 1, 15, 20, 36, 7
134, 40, 0, 29, 6, 25, 18
134, 41, 1, 25, 10, 33, 10
134, 42, 0, 15, 20, 34, 9
134, 43, 1, 27, 8, 23, 20
134, 44, 1, 19, 16, 32, 11
134, 45, 1, 24, 11, 28, 15
134, 46, 1, 22, 13, 31, 12
134, 47, 1, 28, 7, 28, 15
134, 48, 1, 24, 11, 28, 15
134, 49, 1, 26, 9, 35, 8
134, 50, 1, 23, 12, 33, 10
134, 51, 1, 18, 17, 36, 7
134, 52, 1, 15, 20, 38, 5
134, 53, 1, 26, 9, 33, 10
134, 54, 1, 26, 9, 31, 12
134, 55, 1, 24, 11, 34, 9
134, 56, 1, 18, 17, 37, 6
134, 57, 1, 24, 11, 30, 13
134, 58, 1, 23, 12, 35, 8
134, 59, 1, 16, 19, 36, 7
134, 60, 1, 14, 21, 39, 4
134, 61, 1, 24, 11, 29, 14
134, 62, 1, 27, 8, 32, 11
134, 63, 1, 28, 7, 34, 9
134, 64, 1, 20, 15, 35, 8
134, 65, 1, 21, 14, 35, 8
134, 66, 1, 12, 23, 40, 3
134, 67, 1, 13, 22, 40, 3
134, 68, 1, 13, 22, 40, 3
134, 69, 1, 21, 14, 34, 9
134, 70, 1, 22, 13, 31, 12
134, 71, 1, 21, 14, 32, 11
134, 72, 1, 22, 13, 36, 7
134, 73, 0, 18, 17, 32, 11
134, 74, 1, 14, 21, 38, 5
134, 75, 1, 11, 24, 39, 4
134, 76, 1, 11, 24, 42, 1
134, 77, 1, 13, 22, 36, 7
134, 78, 1, 18, 17, 30, 13
134, 79, 1, 25, 10, 33, 10
134, 80, 1, 12, 23, 40, 3
134, 81, 0, 20, 15, 34, 9
134, 82, 0, 19, 16, 36, 7
134, 83, 0, 21, 14, 32, 11
134, 84, 1, 11, 24, 41, 2
134, 85, 1, 21, 14, 32, 11
134, 86, 1, 20, 15, 35, 8
134, 87, 1, 25, 10, 32, 11
134, 88, 1, 21, 14, 34, 9
134, 89, 0, 21, 14, 30, 13
134, 90, 0, 20, 15, 32, 11
134, 91, 1, 19, 16, 39, 4
134, 92, 1, 15, 20, 36, 7
134, 93, 1, 18, 17, 32, 11
134, 94, 1, 20, 15, 29, 14
134, 95, 1, 24, 11, 32, 11
134, 96, 1, 17, 18, 37, 6
134, 97, 1, 23, 12, 28, 15
134, 98, 0, 28, 7, 28, 15
134, 99, 1, 13, 22, 40, 3
134, 100, 1, 24, 11, 30, 13
134, 101, 1, 21, 14, 32, 11
134, 102, 1, 25, 10, 29, 14
134, 103, 1, 28, 7, 29, 14
134, 104, 1, 16, 19, 37, 6
134, 105, 1, 26, 9, 28, 15
134, 106, 1, 25, 10, 27, 16
134, 107, 0, 24, 11, 28, 15
134, 108, 1, 24, 11, 30, 13
134, 109, 1, 21, 14, 34, 9
134, 110, 1, 18, 17, 39, 4
134, 111, 1, 22, 13, 31, 12
134, 112, 0, 25, 10, 24, 19
134, 113, 1, 25, 10, 36, 7
134, 114, 1, 20, 15, 37, 6
134, 115, 1, 18, 17, 23, 20
134, 116, 0, 16, 19, 28, 15
134, 117, 1, 21, 14, 26, 17
134, 118, 1, 10, 25, 40, 3
134, 119, 1, 24, 11, 19, 24
134, 120, 0, 19, 16, 25, 18
134, 121, 1, 8, 27, 29, 14
134, 122, 1, 4, 31, 38, 5
134, 123, 1, 25, 10, 27, 16
134, 124, 1, 32, 3, 34, 9
134, 125, 1, 0, 35, 43, 0
134, 126, 1, 3, 32, 41, 2
134, 127, 1, 28, 7, 32, 11
134, 128, 1, 30, 5, 31, 12
134, 129, 1, 33, 2, 42, 1
134, 130, 1, 31, 4, 42, 1
134, 131, 1, 34, 1, 40, 3
134, 132, 1, 34, 1, 38, 5
134, 133, 1, 34, 1, 37, 6
134, 134, 1, 1, 34, 43, 0
