,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
0,1,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
1,2,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
2,3,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
3,4,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
4,5,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
5,6,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
6,7,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
7,8,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
8,9,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
9,10,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
10,11,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
11,12,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
12,13,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
13,14,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
14,15,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
15,16,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
16,17,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
17,18,0,43,0,1,10,43,11,0.8113207547169812,1.0,1.0,0.09090909090909091,0.8958333333333334,0.16666666666666669,0.8497554157931517,0.8148148148148148,0.7472993827160495
