,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
0,1,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
1,2,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
2,3,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
3,4,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,6,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
7,8,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
8,9,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,10,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,11,1,43,1,34,1,44,35,0.9772727272727273,0.9772727272727273,0.9714285714285714,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9746835443037974,0.9746835443037974,0.9746835443037974
11,12,1,44,0,35,0,44,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,13,1,43,1,35,0,44,35,1.0,0.9772727272727273,0.9722222222222222,1.0,0.9885057471264368,0.9859154929577464,0.9876933895921237,0.9873417721518988,0.9873581661656247
13,14,1,43,1,34,1,44,35,0.9772727272727273,0.9772727272727273,0.9714285714285714,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9746835443037974,0.9746835443037974,0.9746835443037974
14,15,1,43,1,34,1,44,35,0.9772727272727273,0.9772727272727273,0.9714285714285714,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9746835443037974,0.9746835443037974,0.9746835443037974
15,16,0,44,0,0,35,44,35,0.5569620253164557,1.0,0.0,0.0,0.7154471544715447,0.0,0.31020669764460823,0.5569620253164557,0.39847689616136667
16,17,1,40,4,34,1,44,35,0.975609756097561,0.9090909090909091,0.8947368421052632,0.9714285714285714,0.9411764705882352,0.9315068493150684,0.9397799840756568,0.9367088607594937,0.9368924611634145
17,18,1,15,29,34,1,44,35,0.9375,0.3409090909090909,0.5396825396825397,0.9714285714285714,0.5,0.6938775510204082,0.7612517580872011,0.620253164556962,0.5858951175406871
18,19,1,18,26,33,2,44,35,0.9,0.4090909090909091,0.559322033898305,0.9428571428571428,0.5625000000000001,0.7021276595744681,0.7490667238789959,0.6455696202531646,0.6243603555076758
19,20,1,21,23,32,3,44,35,0.875,0.4772727272727273,0.5818181818181818,0.9142857142857143,0.6176470588235294,0.7111111111111111,0.7451093210586881,0.6708860759493671,0.6590551832547366
20,21,1,27,17,31,4,44,35,0.8709677419354839,0.6136363636363636,0.6458333333333334,0.8857142857142857,0.72,0.7469879518072288,0.7712246495168096,0.7341772151898734,0.7319566875095317
21,22,1,38,6,32,3,44,35,0.926829268292683,0.8636363636363636,0.8421052631578947,0.9142857142857143,0.8941176470588236,0.8767123287671234,0.8892933166506881,0.8860759493670886,0.8864064300941463
22,23,1,44,0,32,3,44,35,0.9361702127659575,1.0,1.0,0.9142857142857143,0.967032967032967,0.955223880597015,0.9644492324266092,0.9620253164556962,0.9618010932955199
23,24,1,37,7,34,1,44,35,0.9736842105263158,0.8409090909090909,0.8292682926829268,0.9714285714285714,0.9024390243902439,0.8947368421052632,0.9097024747729157,0.8987341772151899,0.8990266651500626
24,25,1,31,13,30,5,44,35,0.8611111111111112,0.7045454545454546,0.6976744186046512,0.8571428571428571,0.775,0.7692307692307693,0.7887024498740719,0.7721518987341772,0.772444011684518
25,26,1,36,8,30,5,44,35,0.8780487804878049,0.8181818181818182,0.7894736842105263,0.8571428571428571,0.8470588235294119,0.8219178082191781,0.8388066492257193,0.8354430379746836,0.8359203990248779
26,27,1,33,11,30,5,44,35,0.868421052631579,0.75,0.7317073170731707,0.8571428571428571,0.8048780487804879,0.7894736842105263,0.8078516761183601,0.7974683544303798,0.798053330300125
27,28,1,37,7,27,8,44,35,0.8222222222222222,0.8409090909090909,0.7941176470588235,0.7714285714285715,0.8314606741573033,0.782608695652174,0.8097708281624887,0.810126582278481,0.8098173925411067
