,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
0,1,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
1,2,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
2,3,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
3,4,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,6,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
7,8,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
8,9,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,10,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,11,0,40,2,34,1,135,42,35,0.975609756097561,0.9523809523809523,0.9444444444444444,0.9714285714285714,0.963855421686747,0.9577464788732395,0.9614437053461445,0.961038961038961,0.9610786294987891
11,12,0,42,0,35,0,135,42,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,13,0,42,0,34,1,135,42,35,0.9767441860465116,1.0,1.0,0.9714285714285714,0.988235294117647,0.9855072463768115,0.9873150105708245,0.987012987012987,0.9869952724172673
13,14,0,37,5,34,1,135,42,35,0.9736842105263158,0.8809523809523809,0.8717948717948718,0.9714285714285714,0.925,0.9189189189189189,0.9273708747392959,0.922077922077922,0.9222358722358721
14,15,0,42,0,34,1,135,42,35,0.9767441860465116,1.0,1.0,0.9714285714285714,0.988235294117647,0.9855072463768115,0.9873150105708245,0.987012987012987,0.9869952724172673
15,16,0,42,0,0,35,135,42,35,0.5454545454545454,1.0,0.0,0.0,0.7058823529411764,0.0,0.29752066115702475,0.5454545454545454,0.3850267379679144
16,17,0,37,5,34,1,135,42,35,0.9736842105263158,0.8809523809523809,0.8717948717948718,0.9714285714285714,0.925,0.9189189189189189,0.9273708747392959,0.922077922077922,0.9222358722358721
17,18,0,39,3,34,1,135,42,35,0.975,0.9285714285714286,0.918918918918919,0.9714285714285714,0.951219512195122,0.9444444444444445,0.9495085995085993,0.948051948051948,0.948139935944814
18,19,1,28,14,31,4,135,42,35,0.875,0.6666666666666666,0.6888888888888889,0.8857142857142857,0.7567567567567567,0.775,0.7904040404040404,0.7662337662337663,0.76504914004914
19,20,1,25,17,32,3,135,42,35,0.8928571428571429,0.5952380952380952,0.6530612244897959,0.9142857142857143,0.7142857142857143,0.7619047619047618,0.7838589981447124,0.7402597402597403,0.7359307359307358
20,21,0,38,4,32,3,135,42,35,0.926829268292683,0.9047619047619048,0.8888888888888888,0.9142857142857143,0.9156626506024096,0.9014084507042254,0.9095836412909584,0.9090909090909091,0.9091834688305076
21,22,0,42,0,31,4,135,42,35,0.9130434782608695,1.0,1.0,0.8857142857142857,0.9545454545454545,0.9393939393939393,0.9525691699604742,0.948051948051948,0.9476584022038568
22,23,0,42,0,33,2,135,42,35,0.9545454545454546,1.0,1.0,0.9428571428571428,0.9767441860465117,0.9705882352941176,0.975206611570248,0.974025974025974,0.9739460266136052
23,24,0,41,1,34,1,135,42,35,0.9761904761904762,0.9761904761904762,0.9714285714285714,0.9714285714285714,0.9761904761904762,0.9714285714285714,0.974025974025974,0.974025974025974,0.974025974025974
24,25,0,31,11,29,6,135,42,35,0.8378378378378378,0.7380952380952381,0.725,0.8285714285714286,0.7848101265822786,0.7733333333333333,0.7865479115479115,0.7792207792207793,0.7795934023782126
25,26,0,34,8,29,6,135,42,35,0.85,0.8095238095238095,0.7837837837837838,0.8285714285714286,0.8292682926829269,0.8055555555555555,0.8199017199017198,0.8181818181818182,0.818489775806849
26,27,1,36,6,27,8,135,42,35,0.8181818181818182,0.8571428571428571,0.8181818181818182,0.7714285714285715,0.8372093023255814,0.7941176470588236,0.8181818181818182,0.8181818181818182,0.817622186295237
27,28,0,37,5,26,9,135,42,35,0.8043478260869565,0.8809523809523809,0.8387096774193549,0.7428571428571429,0.8409090909090908,0.787878787878788,0.8199668494198649,0.8181818181818182,0.8168044077134986
28,29,1,36,6,28,7,135,42,35,0.8372093023255814,0.8571428571428571,0.8235294117647058,0.8,0.8470588235294119,0.8115942028985507,0.8309911702524561,0.8311688311688312,0.8309385414244749
29,30,1,34,8,26,9,135,42,35,0.7906976744186046,0.8095238095238095,0.7647058823529411,0.7428571428571429,0.8,0.7536231884057971,0.7788832234796667,0.7792207792207793,0.7789196310935441
30,31,0,41,1,26,9,135,42,35,0.82,0.9761904761904762,0.9629629629629629,0.7428571428571429,0.8913043478260869,0.8387096774193549,0.8849831649831649,0.8701298701298701,0.8673976794593905
31,32,0,29,13,31,4,135,42,35,0.8787878787878788,0.6904761904761905,0.7045454545454546,0.8857142857142857,0.7733333333333333,0.7848101265822784,0.7995867768595041,0.7792207792207793,0.7785500575373991
32,33,1,36,6,26,9,135,42,35,0.8,0.8571428571428571,0.8125,0.7428571428571429,0.8275862068965518,0.7761194029850748,0.8056818181818182,0.8051948051948052,0.8041922051186076
33,34,0,38,4,26,9,135,42,35,0.8085106382978723,0.9047619047619048,0.8666666666666667,0.7428571428571429,0.853932584269663,0.8,0.8349451966473245,0.8311688311688312,0.8294177732379979
34,35,0,39,3,26,9,135,42,35,0.8125,0.9285714285714286,0.896551724137931,0.7428571428571429,0.8666666666666666,0.8125,0.8507053291536051,0.8441558441558441,0.8420454545454547
35,36,0,35,7,23,12,135,42,35,0.7446808510638298,0.8333333333333334,0.7666666666666667,0.6571428571428571,0.7865168539325842,0.7076923076923077,0.7546744036105739,0.7532467532467533,0.7506875147324585
36,37,1,36,6,27,8,135,42,35,0.8181818181818182,0.8571428571428571,0.8181818181818182,0.7714285714285715,0.8372093023255814,0.7941176470588236,0.8181818181818182,0.8181818181818182,0.817622186295237
37,38,0,34,8,21,14,135,42,35,0.7083333333333334,0.8095238095238095,0.7241379310344828,0.6,0.7555555555555556,0.65625,0.7155172413793104,0.7142857142857143,0.7104166666666667
38,39,0,37,5,20,15,135,42,35,0.7115384615384616,0.8809523809523809,0.8,0.5714285714285714,0.7872340425531914,0.6666666666666666,0.7517482517482518,0.7402597402597403,0.7324306898774983
39,40,1,40,2,24,11,135,42,35,0.7843137254901961,0.9523809523809523,0.9230769230769231,0.6857142857142857,0.8602150537634408,0.7868852459016394,0.8473879062114356,0.8311688311688312,0.8268833229171674
40,41,1,35,7,29,6,135,42,35,0.8536585365853658,0.8333333333333334,0.8055555555555556,0.8285714285714286,0.8433734939759037,0.8169014084507044,0.8317935452081794,0.8311688311688312,0.8313407278280857
41,42,0,36,6,24,11,135,42,35,0.7659574468085106,0.8571428571428571,0.8,0.6857142857142857,0.8089887640449439,0.7384615384615385,0.781431334622824,0.7792207792207793,0.776930934234305
42,43,1,31,11,21,14,135,42,35,0.6888888888888889,0.7380952380952381,0.65625,0.6,0.7126436781609196,0.626865671641791,0.6740530303030303,0.6753246753246753,0.6736536751976793
43,44,1,35,7,17,18,135,42,35,0.660377358490566,0.8333333333333334,0.7083333333333334,0.4857142857142857,0.7368421052631579,0.576271186440678,0.6821755288736421,0.6753246753246753,0.6638553239802125
44,45,1,33,9,26,9,135,42,35,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7428571428571429,0.7857142857142857,0.7428571428571429,0.7662337662337663,0.7662337662337663,0.7662337662337663
45,46,0,34,8,26,9,135,42,35,0.7906976744186046,0.8095238095238095,0.7647058823529411,0.7428571428571429,0.8,0.7536231884057971,0.7788832234796667,0.7792207792207793,0.7789196310935441
46,47,0,36,6,24,11,135,42,35,0.7659574468085106,0.8571428571428571,0.8,0.6857142857142857,0.8089887640449439,0.7384615384615385,0.781431334622824,0.7792207792207793,0.776930934234305
47,48,1,35,7,28,7,135,42,35,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8333333333333334,0.8000000000000002,0.8181818181818182,0.8181818181818182,0.8181818181818182
48,49,1,37,5,24,11,135,42,35,0.7708333333333334,0.8809523809523809,0.8275862068965517,0.6857142857142857,0.8222222222222222,0.75,0.7966300940438872,0.7922077922077922,0.7893939393939393
