landmark_index,stype,median,median_2
1,mt-zrf,0,0
1,wt-zrf,0,0
2,mt-zrf,0,0
2,wt-zrf,0,0
3,mt-zrf,0,0
3,wt-zrf,0,0
4,mt-zrf,0,0
4,wt-zrf,0,0
5,mt-zrf,0,0
5,wt-zrf,0,0
6,mt-zrf,0,0
6,wt-zrf,0,0
7,mt-zrf,0,0
7,wt-zrf,0,0
8,mt-zrf,0,0
8,wt-zrf,0,0
9,mt-zrf,0,0
9,wt-zrf,0,0
10,mt-zrf,0,0
10,wt-zrf,0,0
11,mt-zrf,0,0
11,wt-zrf,11.40986986,22.81973972
12,mt-zrf,0,0
12,wt-zrf,10.89993474,21.79986948
13,mt-zrf,0,0
13,wt-zrf,8.759828683,17.519657366
14,mt-zrf,0,0
14,wt-zrf,14.45092761,28.90185522
15,mt-zrf,0,0
15,wt-zrf,11.9504841,23.9009682
16,mt-zrf,0,0
16,wt-zrf,20.71878117,41.43756234
17,mt-zrf,2.402134833,4.804269666
17,wt-zrf,3.264319495,6.52863899
18,mt-zrf,8.449021051,16.898042102
18,wt-zrf,3.9968096625,7.993619325
19,mt-zrf,8.247225832,16.494451664
19,wt-zrf,9.044479759,18.088959518
20,mt-zrf,4.754448328,9.508896656
20,wt-zrf,6.615412628,13.230825256
21,mt-zrf,4.601784777,9.203569554
21,wt-zrf,6.556615394,13.113230788
22,mt-zrf,4.417230907,8.834461814
22,wt-zrf,8.288625121,16.577250242
23,mt-zrf,7.01169511,14.02339022
23,wt-zrf,5.034651038,10.069302076
24,mt-zrf,2.9256240345,5.851248069
24,wt-zrf,5.007080979,10.014161958
25,mt-zrf,2.2242282295,4.448456459
25,wt-zrf,4.45041927,8.90083854
26,mt-zrf,2.8600150805,5.720030161
26,wt-zrf,5.60124386,11.20248772
27,mt-zrf,6.352148299,12.704296598
27,wt-zrf,6.43907094,12.87814188
28,mt-zrf,5.652977821,11.305955642
28,wt-zrf,5.9431660445,11.886332089
29,mt-zrf,4.732720133,9.465440266
29,wt-zrf,4.8855269825,9.771053965
30,mt-zrf,6.015046108,12.030092216
30,wt-zrf,7.282796724,14.565593448
31,mt-zrf,6.668625884,13.337251768
31,wt-zrf,4.715645036,9.431290072
32,mt-zrf,1.8706613185,3.741322637
32,wt-zrf,3.726350421,7.452700842
33,mt-zrf,2.41119811,4.82239622
33,wt-zrf,5.6598804905,11.319760981
34,mt-zrf,4.212651655,8.42530331
34,wt-zrf,5.546693243,11.093386486
35,mt-zrf,6.267276576,12.534553152
35,wt-zrf,6.7898086635,13.579617327
36,mt-zrf,3.8888201685,7.777640337
36,wt-zrf,5.477923023,10.955846046
37,mt-zrf,4.3278065055,8.655613011
37,wt-zrf,6.471950317,12.943900634
38,mt-zrf,5.579630856,11.159261712
38,wt-zrf,7.42737484,14.85474968
39,mt-zrf,4.589187749,9.178375498
39,wt-zrf,7.04193,14.08386
40,mt-zrf,2.750110496,5.500220992
40,wt-zrf,4.755974087,9.511948174
41,mt-zrf,3.4959733055,6.991946611
41,wt-zrf,8.019171899,16.038343798
42,mt-zrf,5.2620559775,10.524111955
42,wt-zrf,7.363359168,14.726718336
43,mt-zrf,6.781978584,13.563957168
43,wt-zrf,7.666537767,15.333075534
44,mt-zrf,4.772228687,9.544457374
44,wt-zrf,7.147432113,14.294864226
45,mt-zrf,4.332249048,8.664498096
45,wt-zrf,7.780766338,15.561532676
46,mt-zrf,5.2286866465,10.457373293
46,wt-zrf,9.88944918,19.77889836
47,mt-zrf,5.036736307,10.073472614
47,wt-zrf,10.4190385,20.838077
48,mt-zrf,3.681828634,7.363657268
48,wt-zrf,8.148131895,16.29626379
49,mt-zrf,5.201672891,10.403345782
49,wt-zrf,10.40512733,20.81025466
50,mt-zrf,6.369360889,12.738721778
50,wt-zrf,10.782183575,21.56436715
51,mt-zrf,7.205926299,14.411852598
51,wt-zrf,10.2008556,20.4017112
52,mt-zrf,8.232106709,16.464213418
52,wt-zrf,11.712181,23.424362
53,mt-zrf,7.666777288,15.333554576
53,wt-zrf,13.13126803,26.26253606
54,mt-zrf,7.728434116,15.456868232
54,wt-zrf,12.95972507,25.91945014
55,mt-zrf,6.895295606,13.790591212
55,wt-zrf,13.60032221,27.20064442
56,mt-zrf,5.463416865,10.92683373
56,wt-zrf,12.24504388,24.49008776
57,mt-zrf,8.068708124,16.137416248
57,wt-zrf,13.31972393,26.63944786
58,mt-zrf,9.80287207,19.60574414
58,wt-zrf,11.890066765,23.78013353
59,mt-zrf,9.281189881,18.562379762
59,wt-zrf,10.652373005,21.30474601
60,mt-zrf,11.066649155,22.13329831
60,wt-zrf,13.50786588,27.01573176
61,mt-zrf,10.63499468,21.26998936
61,wt-zrf,13.42905315,26.8581063
62,mt-zrf,8.945997507,17.891995014
62,wt-zrf,15.58703127,31.17406254
63,mt-zrf,8.264080902,16.528161804
63,wt-zrf,17.53296452,35.06592904
64,mt-zrf,8.822855225,17.64571045
64,wt-zrf,12.62063353,25.24126706
65,mt-zrf,11.46120534,22.92241068
65,wt-zrf,14.61706394,29.23412788
66,mt-zrf,11.5953098,23.1906196
66,wt-zrf,12.23190499,24.46380998
67,mt-zrf,10.83791867,21.67583734
67,wt-zrf,10.61087135,21.2217427
68,mt-zrf,13.5956527,27.1913054
68,wt-zrf,14.916383285,29.83276657
69,mt-zrf,10.812249305,21.62449861
69,wt-zrf,14.63132501,29.26265002
70,mt-zrf,9.454040974,18.908081948
70,wt-zrf,14.74892541,29.49785082
71,mt-zrf,11.238892745,22.47778549
71,wt-zrf,19.59815707,39.19631414
72,mt-zrf,11.78797102,23.57594204
72,wt-zrf,17.0804508,34.1609016
73,mt-zrf,11.96859224,23.93718448
73,wt-zrf,16.065381585,32.13076317
74,mt-zrf,11.94231456,23.88462912
74,wt-zrf,14.090124685,28.18024937
75,mt-zrf,10.28555767,20.57111534
75,wt-zrf,11.74147167,23.48294334
76,mt-zrf,13.58893019,27.17786038
76,wt-zrf,14.06506736,28.13013472
77,mt-zrf,11.28928613,22.57857226
77,wt-zrf,14.69405315,29.3881063
78,mt-zrf,11.75138699,23.50277398
78,wt-zrf,15.0703878,30.1407756
79,mt-zrf,9.721802804,19.443605608
79,wt-zrf,19.13958952,38.27917904
80,mt-zrf,12.99444853,25.98889706
80,wt-zrf,16.18237261,32.36474522
81,mt-zrf,10.30344651,20.60689302
81,wt-zrf,16.30617265,32.6123453
82,mt-zrf,11.396350765,22.79270153
82,wt-zrf,14.72121985,29.4424397
83,mt-zrf,11.30268212,22.60536424
83,wt-zrf,12.2376236,24.4752472
84,mt-zrf,10.53349111,21.06698222
84,wt-zrf,15.09255639,30.18511278
85,mt-zrf,11.35890641,22.71781282
85,wt-zrf,15.0116572,30.0233144
86,mt-zrf,11.2167406,22.4334812
86,wt-zrf,15.06369157,30.12738314
87,mt-zrf,12.306429025,24.61285805
87,wt-zrf,17.56489185,35.1297837
88,mt-zrf,12.24439672,24.48879344
88,wt-zrf,16.48254449,32.96508898
89,mt-zrf,10.35173622,20.70347244
89,wt-zrf,15.0774463,30.1548926
90,mt-zrf,9.53761111,19.07522222
90,wt-zrf,12.357644985,24.71528997
91,mt-zrf,10.15227865,20.3045573
91,wt-zrf,9.625110314,19.250220628
92,mt-zrf,10.82936919,21.65873838
92,wt-zrf,13.32609567,26.65219134
93,mt-zrf,10.24452549,20.48905098
93,wt-zrf,14.22678825,28.4535765
94,mt-zrf,10.39316114,20.78632228
94,wt-zrf,14.73453654,29.46907308
95,mt-zrf,9.479697116,18.959394232
95,wt-zrf,15.703147405,31.40629481
96,mt-zrf,9.087732674,18.175465348
96,wt-zrf,13.97142678,27.94285356
97,mt-zrf,6.198930034,12.397860068
97,wt-zrf,9.611874277,19.223748554
98,mt-zrf,7.308759058,14.617518116
98,wt-zrf,10.65079408,21.30158816
99,mt-zrf,9.245426535,18.49085307
99,wt-zrf,8.5086791255,17.017358251
100,mt-zrf,7.424302526,14.848605052
100,wt-zrf,11.5035262,23.0070524
101,mt-zrf,8.866832004,17.733664008
101,wt-zrf,10.73071142,21.46142284
102,mt-zrf,8.213707829,16.427415658
102,wt-zrf,11.70247927,23.40495854
103,mt-zrf,6.443771994,12.887543988
103,wt-zrf,15.5205702,31.0411404
104,mt-zrf,5.865683278,11.731366556
104,wt-zrf,10.56504706,21.13009412
105,mt-zrf,4.1336081395,8.267216279
105,wt-zrf,7.110551103,14.221102206
106,mt-zrf,5.544782953,11.089565906
106,wt-zrf,7.458605149,14.917210298
107,mt-zrf,5.9504424255,11.900884851
107,wt-zrf,7.658564281,15.317128562
108,mt-zrf,4.28760536,8.57521072
108,wt-zrf,8.315692409,16.631384818
109,mt-zrf,4.120501518,8.241003036
109,wt-zrf,8.343186184,16.686372368
110,mt-zrf,6.1539436955,12.307887391
110,wt-zrf,8.962346606,17.924693212
111,mt-zrf,5.128777472,10.257554944
111,wt-zrf,10.8409971145,21.681994229
112,mt-zrf,3.79661631,7.59323262
112,wt-zrf,7.768752684,15.537505368
113,mt-zrf,2.8959095685,5.791819137
113,wt-zrf,5.6633508335,11.326701667
114,mt-zrf,4.309457588,8.618915176
114,wt-zrf,6.103592123,12.207184246
115,mt-zrf,5.609994311,11.219988622
115,wt-zrf,7.188271883,14.376543766
116,mt-zrf,4.181642167,8.363284334
116,wt-zrf,6.776037597,13.552075194
117,mt-zrf,4.190076873,8.380153746
117,wt-zrf,6.593596691,13.187193382
118,mt-zrf,5.452482707,10.904965414
118,wt-zrf,6.810543414,13.621086828
119,mt-zrf,4.647516998,9.295033996
119,wt-zrf,6.948528074,13.897056148
120,mt-zrf,3.509800521,7.019601042
120,wt-zrf,5.254275708,10.508551416
121,mt-zrf,3.1183461475,6.236692295
121,wt-zrf,4.7975322195,9.595064439
122,mt-zrf,3.924236142,7.848472284
122,wt-zrf,4.962756378,9.925512756
123,mt-zrf,6.326327569,12.652655138
123,wt-zrf,6.951084193,13.902168386
124,mt-zrf,5.340335007,10.680670014
124,wt-zrf,6.58701809,13.17403618
125,mt-zrf,4.647668918,9.295337836
125,wt-zrf,5.305209073,10.610418146
126,mt-zrf,6.138529799,12.277059598
126,wt-zrf,7.088759559,14.177519118
127,mt-zrf,4.069028236,8.138056472
127,wt-zrf,6.7417447665,13.483489533
128,mt-zrf,4.052562526,8.105125052
128,wt-zrf,5.68158834,11.36317668
129,mt-zrf,4.868959964,9.737919928
129,wt-zrf,4.147685089,8.295370178
130,mt-zrf,5.624585373,11.249170746
130,wt-zrf,4.4976921715,8.995384343
131,mt-zrf,6.3793683875,12.758736775
131,wt-zrf,7.564175631,15.128351262
132,mt-zrf,3.422891886,6.845783772
132,wt-zrf,7.468688493,14.937376986
133,mt-zrf,5.0572381885,10.114476377
133,wt-zrf,6.313097538,12.626195076
134,mt-zrf,7.178745857,14.357491714
134,wt-zrf,7.503027842,15.006055684
135,mt-zrf,3.691075909,7.382151818
135,wt-zrf,6.676347067,13.352694134
136,mt-zrf,2.2465240555,4.493048111
136,wt-zrf,5.933482311,11.866964622
137,mt-zrf,0,0
137,wt-zrf,7.8580342895,15.716068579
138,mt-zrf,0,0
138,wt-zrf,4.5252139255,9.050427851
139,mt-zrf,8.677892696,17.355785392
139,wt-zrf,6.347753679,12.695507358
140,mt-zrf,11.75070732,23.50141464
