,Unnamed: 0,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
0,0,1,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
1,1,2,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
2,2,3,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
3,3,4,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
4,4,5,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
5,5,6,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
6,6,19,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
7,7,21,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
8,8,24,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
9,9,101,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
10,10,102,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
11,11,103,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
12,12,104,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
13,13,105,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
14,14,106,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
15,15,107,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
16,16,108,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
17,17,109,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
18,18,110,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
19,19,111,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
20,20,112_1,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
21,21,112_2,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
22,22,112_1,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
23,23,112_2,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-at,-90.51/-3.14,1
24,24,113,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
25,25,114,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
26,26,115,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
27,27,116,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
28,28,117,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
29,29,118,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
30,30,119,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-at,-90.51/-3.14,1
