,Unnamed: 0,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
0,0,1,-90.51,-80.99,-3.14,-2.36,50,0,0.0,mt-at,28.82484076,1
1,80,1,-90.51,-80.99,-2.36,-1.57,50,0,0.0,mt-at,38.35169492,2
2,160,1,-90.51,-80.99,-1.57,-0.79,50,0,0.0,mt-at,57.64968153,3
3,240,1,-90.51,-80.99,-0.79,0.0,50,0,7.063969395,mt-at,114.5696203,4
4,320,1,-90.51,-80.99,0.0,0.79,50,0,7.188516933,mt-at,#DIV/0!,5
5,400,1,-90.51,-80.99,0.79,1.57,50,0,8.238536689,mt-at,-114.5696203,6
6,480,1,-90.51,-80.99,1.57,2.36,50,0,0.0,mt-at,-57.64968153,7
7,560,1,-90.51,-80.99,2.36,3.14,50,0,0.0,mt-at,-38.35169492,8
8,640,1,-80.99,-71.46,-3.14,-2.36,50,0,1.804991465,mt-at,25.79299363,9
9,720,1,-80.99,-71.46,-2.36,-1.57,50,0,2.9775515980000002,mt-at,34.31779661,10
10,800,1,-80.99,-71.46,-1.57,-0.79,50,0,4.616573777,mt-at,51.58598726,11
11,880,1,-80.99,-71.46,-0.79,0.0,50,0,3.069329443,mt-at,102.5189873,12
12,960,1,-80.99,-71.46,0.0,0.79,50,0,3.193147737,mt-at,#DIV/0!,13
13,1040,1,-80.99,-71.46,0.79,1.57,50,0,5.593540193,mt-at,-102.5189873,14
14,1120,1,-80.99,-71.46,1.57,2.36,50,0,2.525775453,mt-at,-51.58598726,15
15,1200,1,-80.99,-71.46,2.36,3.14,50,0,1.224732521,mt-at,-34.31779661,16
16,1280,1,-71.46,-61.93,-3.14,-2.36,50,0,1.373868771,mt-at,22.75796178,17
17,1360,1,-71.46,-61.93,-2.36,-1.57,50,0,2.770861299,mt-at,30.27966102,18
18,1440,1,-71.46,-61.93,-1.57,-0.79,50,0,4.408687318,mt-at,45.51592357,19
19,1520,1,-71.46,-61.93,-0.79,0.0,50,0,2.717241398,mt-at,90.4556962,20
20,1600,1,-71.46,-61.93,0.0,0.79,50,0,2.392335002,mt-at,#DIV/0!,21
21,1680,1,-71.46,-61.93,0.79,1.57,50,0,4.52396853,mt-at,-90.4556962,22
22,1760,1,-71.46,-61.93,1.57,2.36,50,0,4.367453533,mt-at,-45.51592357,23
23,1840,1,-71.46,-61.93,2.36,3.14,50,0,1.930789773,mt-at,-30.27966102,24
24,1920,1,-61.93,-52.4,-3.14,-2.36,50,0,1.767464736,mt-at,19.72292994,25
25,2000,1,-61.93,-52.4,-2.36,-1.57,50,0,3.51160845,mt-at,26.24152542,26
26,2080,1,-61.93,-52.4,-1.57,-0.79,50,0,4.278358247,mt-at,39.44585987,27
27,2160,1,-61.93,-52.4,-0.79,0.0,50,0,2.702015873,mt-at,78.39240506,28
28,2240,1,-61.93,-52.4,0.0,0.79,50,0,2.687110014,mt-at,#DIV/0!,29
29,2320,1,-61.93,-52.4,0.79,1.57,50,0,3.929134559,mt-at,-78.39240506,30
30,2400,1,-61.93,-52.4,1.57,2.36,50,0,3.6736387930000003,mt-at,-39.44585987,31
31,2480,1,-61.93,-52.4,2.36,3.14,50,0,2.3760875280000002,mt-at,-26.24152542,32
32,2560,1,-52.4,-42.88,-3.14,-2.36,50,311,1.99797819,mt-at,16.68789809,33
33,2640,1,-52.4,-42.88,-2.36,-1.57,50,238,1.506338653,mt-at,22.20338983,34
34,2720,1,-52.4,-42.88,-1.57,-0.79,50,109,1.94904937,mt-at,33.37579618,35
35,2800,1,-52.4,-42.88,-0.79,0.0,50,53,1.4465854480000002,mt-at,66.32911392,36
36,2880,1,-52.4,-42.88,0.0,0.79,50,4,1.4696770590000001,mt-at,#DIV/0!,37
37,2960,1,-52.4,-42.88,0.79,1.57,50,0,4.382651617,mt-at,-66.32911392,38
38,3040,1,-52.4,-42.88,1.57,2.36,50,3,0.261113455,mt-at,-33.37579618,39
39,3120,1,-52.4,-42.88,2.36,3.14,50,6,0.375056444,mt-at,-22.20338983,40
40,3200,1,-42.88,-33.35,-3.14,-2.36,50,100,2.9834849489999997,mt-at,13.65605096,41
41,3280,1,-42.88,-33.35,-2.36,-1.57,50,0,3.4683696680000002,mt-at,18.16949153,42
42,3360,1,-42.88,-33.35,-1.57,-0.79,50,197,7.755235484,mt-at,27.31210191,43
43,3440,1,-42.88,-33.35,-0.79,0.0,50,0,3.127616512,mt-at,54.27848101,44
44,3520,1,-42.88,-33.35,0.0,0.79,50,0,3.059629234,mt-at,#DIV/0!,45
45,3600,1,-42.88,-33.35,0.79,1.57,50,91,3.113202202,mt-at,-54.27848101,46
46,3680,1,-42.88,-33.35,1.57,2.36,50,244,2.227558424,mt-at,-27.31210191,47
47,3760,1,-42.88,-33.35,2.36,3.14,50,138,2.4314828619999997,mt-at,-18.16949153,48
48,3840,1,-33.35,-23.82,-3.14,-2.36,50,4,4.2988653260000005,mt-at,10.62101911,49
49,3920,1,-33.35,-23.82,-2.36,-1.57,50,9,7.225858741000001,mt-at,14.13135593,50
50,4000,1,-33.35,-23.82,-1.57,-0.79,50,18,3.95739324,mt-at,21.24203822,51
51,4080,1,-33.35,-23.82,-0.79,0.0,50,0,3.965519671,mt-at,42.21518987,52
52,4160,1,-33.35,-23.82,0.0,0.79,50,0,4.416385091,mt-at,#DIV/0!,53
53,4240,1,-33.35,-23.82,0.79,1.57,50,0,4.558090913,mt-at,-42.21518987,54
54,4320,1,-33.35,-23.82,1.57,2.36,50,84,4.502457777,mt-at,-21.24203822,55
55,4400,1,-33.35,-23.82,2.36,3.14,50,64,5.251853667,mt-at,-14.13135593,56
56,4480,1,-23.82,-14.29,-3.14,-2.36,50,2,3.849932328,mt-at,7.585987261,57
57,4560,1,-23.82,-14.29,-2.36,-1.57,50,1,5.811333455,mt-at,10.09322034,58
58,4640,1,-23.82,-14.29,-1.57,-0.79,50,59,3.836054555,mt-at,15.17197452,59
59,4720,1,-23.82,-14.29,-0.79,0.0,50,468,9.478221849,mt-at,30.15189873,60
60,4800,1,-23.82,-14.29,0.0,0.79,50,0,6.536380554,mt-at,#DIV/0!,61
61,4880,1,-23.82,-14.29,0.79,1.57,50,1,8.489254145,mt-at,-30.15189873,62
62,4960,1,-23.82,-14.29,1.57,2.36,50,0,4.080206207,mt-at,-15.17197452,63
63,5040,1,-23.82,-14.29,2.36,3.14,50,0,3.86859298,mt-at,-10.09322034,64
64,5120,1,-14.29,-4.76,-3.14,-2.36,50,0,4.290122378,mt-at,4.550955414,65
65,5200,1,-14.29,-4.76,-2.36,-1.57,50,0,4.022985053999999,mt-at,6.055084746,66
66,5280,1,-14.29,-4.76,-1.57,-0.79,50,0,4.761527748,mt-at,9.101910828,67
67,5360,1,-14.29,-4.76,-0.79,0.0,50,19,12.88559065,mt-at,18.08860759,68
68,5440,1,-14.29,-4.76,0.0,0.79,50,1,2.318040627,mt-at,#DIV/0!,69
69,5520,1,-14.29,-4.76,0.79,1.57,50,49,9.531598356,mt-at,-18.08860759,70
70,5600,1,-14.29,-4.76,1.57,2.36,50,0,4.203330647,mt-at,-9.101910828,71
71,5680,1,-14.29,-4.76,2.36,3.14,50,0,4.343117167,mt-at,-6.055084746,72
72,5760,1,-4.76,4.76,-3.14,-2.36,50,0,4.729350834,mt-at,1.515923567,73
73,5840,1,-4.76,4.76,-2.36,-1.57,50,0,4.741652416,mt-at,2.016949153,74
74,5920,1,-4.76,4.76,-1.57,-0.79,50,0,5.681750706,mt-at,3.031847134,75
75,6000,1,-4.76,4.76,-0.79,0.0,50,0,8.096351484,mt-at,6.025316456,76
76,6080,1,-4.76,4.76,0.0,0.79,50,0,7.738082254,mt-at,#DIV/0!,77
77,6160,1,-4.76,4.76,0.79,1.57,50,1,13.20512129,mt-at,-6.025316456,78
78,6240,1,-4.76,4.76,1.57,2.36,50,6,12.61214468,mt-at,-3.031847134,79
79,6320,1,-4.76,4.76,2.36,3.14,50,0,4.493573156,mt-at,-2.016949153,80
80,6429,1,4.76,14.29,-2.36,-1.57,50,1,1.302859204,mt-at,4.76/-2.36,82
81,6509,1,4.76,14.29,-1.57,-0.79,50,9,3.358519732,mt-at,4.76/-1.57,83
82,6589,1,4.76,14.29,-0.79,0.0,50,0,6.301485102999999,mt-at,4.76/-0.79,84
83,6669,1,14.29,23.82,-3.14,-2.36,50,473,2.556801186,mt-at,14.29/-3.14,85
84,6749,1,14.29,23.82,-2.36,-1.57,50,0,4.570483916000001,mt-at,14.29/-2.36,86
85,6829,1,14.29,23.82,-1.57,-0.79,50,0,5.690838306,mt-at,14.29/-1.57,87
86,6909,1,14.29,23.82,-0.79,0.0,50,1,6.581340253,mt-at,14.29/-0.79,88
87,6989,1,14.29,23.82,0.0,0.79,50,0,5.965428752999999,mt-at,14.29/0.0,89
88,7069,1,14.29,23.82,0.79,1.57,50,6,4.214903124,mt-at,14.29/0.79,90
89,7149,1,14.29,23.82,1.57,2.36,50,434,2.447861202,mt-at,14.29/1.57,91
90,7229,1,14.29,23.82,2.36,3.14,50,805,2.219703257,mt-at,14.29/2.36,92
