,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
0,1,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
1,101,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
2,102,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
3,103,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
4,104,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
5,105,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
6,106,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
7,107,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
8,108,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
9,109,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
10,110,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
11,111,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
12,112_1,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
13,112_2,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
14,113,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
15,114,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
16,115,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
17,116,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
18,117,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
19,118,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
20,119,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
21,120,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
22,121,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
23,122,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
24,123,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
25,124,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
26,125,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
27,126,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
28,127,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
29,128,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
30,129,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
31,130,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
32,131,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
33,132,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
34,133,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
35,134,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
36,135,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
37,136,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
38,137,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
39,138,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
40,139,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
41,140,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
42,141,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
43,142,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
44,143,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,wt-zrf,-90.51/-3.14,1
45,152,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
46,172,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
47,19,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
48,2,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
49,21,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
50,24,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
51,3,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
52,317,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
53,318,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
54,319,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
55,320,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
56,321,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
57,323,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
58,324,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
59,325,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
60,326,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
61,327,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
62,328,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
63,329,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
64,330,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
65,331,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
66,332,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
67,333,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
68,334,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
69,335,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
70,336,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
71,337,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
72,338,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
73,339,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
74,340,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
75,4,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
76,5,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
77,6,-90.51,-80.99,-3.14,-2.36,50,0.0,0.0,mt-zrf,-90.51/-3.14,1
78,1,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
79,101,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
80,102,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
81,103,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
82,104,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
83,105,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
84,106,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
85,107,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
86,108,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
87,109,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
88,110,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
89,111,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
90,112_1,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
91,112_2,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
92,113,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
93,114,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
94,115,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
95,116,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
96,117,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
97,118,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
98,119,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
99,120,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
100,121,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
101,122,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
102,123,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
103,124,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
104,125,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
105,126,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
106,127,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
107,128,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
108,129,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
109,130,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
110,131,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
111,132,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
112,133,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
113,134,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
114,135,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
115,136,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
116,137,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
117,138,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
118,139,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
119,140,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
120,141,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
121,142,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
122,143,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
123,152,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
124,172,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
125,19,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
126,2,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
127,21,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
128,24,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
129,3,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
130,317,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
131,318,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
132,319,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
133,320,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
134,321,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
135,323,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
136,324,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
137,325,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
138,326,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
139,327,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
140,328,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
141,329,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
142,330,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
143,331,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
144,332,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
145,333,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
146,334,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
147,335,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
148,336,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
149,337,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
150,338,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
151,339,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
152,340,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
153,4,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
154,5,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
155,6,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
156,1,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
157,101,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
158,102,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
159,103,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
160,104,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
161,105,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
162,106,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
163,107,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
164,108,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
165,109,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
166,110,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
167,111,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
168,112_1,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
169,112_2,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
170,113,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
171,114,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
172,115,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
173,116,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
174,117,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
175,118,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
176,119,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
177,120,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
178,121,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
179,122,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
180,123,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
181,124,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
182,125,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
183,126,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
184,127,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
185,128,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
186,129,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
187,130,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
188,131,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
189,132,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
190,133,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
191,134,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
192,135,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
193,136,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
194,137,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
195,138,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
196,139,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
197,140,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
198,141,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
199,142,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
200,143,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
201,152,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
202,172,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
203,19,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
204,2,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
205,21,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
206,24,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
207,3,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
208,317,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
209,318,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
210,319,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
211,320,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
212,321,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
213,323,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
214,324,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
215,325,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
216,326,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
217,327,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
218,328,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
219,329,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
220,330,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
221,331,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
222,332,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
223,333,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
224,334,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
225,335,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
226,336,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
227,337,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
228,338,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
229,339,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
230,340,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
231,4,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
232,5,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
233,6,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
234,1,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,mt-zrf,-90.51/-0.79,4
235,101,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
236,102,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
237,103,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
238,104,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
239,105,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
240,106,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
241,107,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
242,108,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
243,109,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
244,110,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
245,111,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
246,112_1,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
247,112_2,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,mt-zrf,-90.51/-0.79,4
248,113,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
249,114,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
250,115,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
251,116,-90.51,-80.99,-0.79,0.0,50,0.0,0.0,wt-zrf,-90.51/-0.79,4
