sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
1,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
2,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
3,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
4,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
5,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
6,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
19,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
21,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
24,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
101,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
102,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
103,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
104,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
105,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
106,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
107,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
108,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
109,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
110,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
111,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
112,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
112,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
112,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
112,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
113,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
114,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
115,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
116,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
117,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
118,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
119,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
120,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
121,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
122,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
123,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
124,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
125,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
126,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
127,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
128,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
129,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
130,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
131,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
132,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
133,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
134,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
135,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
136,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
137,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
138,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
139,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
140,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
141,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
142,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
143,-90.51,-80.99,-3.14,-2.36,50,0,,wt-at,-90.51/-3.14,1
152,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
172,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
317,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
318,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
319,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
320,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
321,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
323,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
324,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
325,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
326,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
327,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
328,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
329,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
330,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
331,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
332,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
333,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
334,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
335,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
336,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
337,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
338,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
339,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
340,-90.51,-80.99,-3.14,-2.36,50,0,,mt-at,-90.51/-3.14,1
1,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
2,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
3,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
4,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
5,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
6,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
19,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
21,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
24,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
101,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
102,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
103,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
104,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
105,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
106,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
107,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
108,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
109,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
110,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
111,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
112,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
112,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
112,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
112,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2
113,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
114,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
115,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
116,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
117,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
118,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
119,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
120,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
121,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
122,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
123,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
124,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
125,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
126,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2
