,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
0,1,1,-14.29,-4.76,-0.79,0.0,50,19,12.88559065,mt-at
1,2,1,-14.29,-4.76,-1.57,-0.79,50,0,6.026736052,mt-at
2,3,1,-14.29,-4.76,-2.36,-1.57,50,0,5.317594198,mt-at
3,4,1,-14.29,-4.76,-3.14,-2.36,50,0,4.604663273,mt-at
4,5,1,-14.29,-4.76,0.0,0.79,50,1,2.318040627,mt-at
5,6,1,-14.29,-4.76,0.79,1.57,50,49,9.531598356,mt-at
6,7,1,-14.29,-4.76,1.57,2.36,50,0,4.787025851,mt-at
7,8,1,-14.29,-4.76,2.36,3.14,50,0,4.76742337,mt-at
8,9,1,-23.82,-14.29,-0.79,0.0,50,468,9.478221849,mt-at
9,10,1,-23.82,-14.29,-1.57,-0.79,50,59,3.836054555,mt-at
10,11,1,-23.82,-14.29,-2.36,-1.57,50,1,5.811333455,mt-at
11,12,1,-23.82,-14.29,-3.14,-2.36,50,2,3.849932328,mt-at
12,13,1,-23.82,-14.29,0.0,0.79,50,0,7.901269272,mt-at
13,14,1,-23.82,-14.29,0.79,1.57,50,1,8.489254145,mt-at
14,15,1,-23.82,-14.29,1.57,2.36,50,0,3.9840724780000003,mt-at
15,16,1,-23.82,-14.29,2.36,3.14,50,0,4.250710305,mt-at
16,17,1,-33.35,-23.82,-0.79,0.0,50,0,4.976856537,mt-at
17,18,1,-33.35,-23.82,-1.57,-0.79,50,18,3.95739324,mt-at
18,19,1,-33.35,-23.82,-2.36,-1.57,50,9,7.225858741000001,mt-at
19,20,1,-33.35,-23.82,-3.14,-2.36,50,4,4.2988653260000005,mt-at
20,21,1,-33.35,-23.82,0.0,0.79,50,0,5.506428403999999,mt-at
21,22,1,-33.35,-23.82,0.79,1.57,50,0,5.318652499,mt-at
22,23,1,-33.35,-23.82,1.57,2.36,50,84,4.502457777,mt-at
23,24,1,-33.35,-23.82,2.36,3.14,50,64,5.251853667,mt-at
24,25,1,-4.76,4.76,-0.79,0.0,50,0,7.983814496,mt-at
25,26,1,-4.76,4.76,-1.57,-0.79,50,0,5.924208765,mt-at
26,27,1,-4.76,4.76,-2.36,-1.57,50,0,5.566183675,mt-at
27,28,1,-4.76,4.76,-3.14,-2.36,50,0,4.806389847,mt-at
28,29,1,-4.76,4.76,0.0,0.79,50,0,9.01582997,mt-at
29,30,1,-4.76,4.76,0.79,1.57,50,1,13.20512129,mt-at
30,31,1,-4.76,4.76,1.57,2.36,50,6,12.61214468,mt-at
31,32,1,-4.76,4.76,2.36,3.14,50,0,4.887929261,mt-at
32,33,1,-42.88,-33.35,-0.79,0.0,50,0,4.014341597,mt-at
33,34,1,-42.88,-33.35,-1.57,-0.79,50,197,7.755235484,mt-at
34,35,1,-42.88,-33.35,-2.36,-1.57,50,0,4.430636063,mt-at
35,36,1,-42.88,-33.35,-3.14,-2.36,50,100,2.9834849489999997,mt-at
