landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 35
2, 0, 42, 0, 0, 35
3, 0, 42, 0, 0, 35
4, 0, 42, 0, 35, 0
5, 0, 42, 0, 35, 0
6, 0, 42, 0, 35, 0
7, 0, 42, 0, 0, 35
8, 0, 42, 0, 0, 35
9, 0, 42, 0, 35, 0
10, 0, 42, 0, 35, 0
11, 0, 41, 1, 34, 1
12, 0, 42, 0, 35, 0
13, 0, 41, 1, 35, 0
14, 0, 41, 1, 34, 1
15, 0, 41, 1, 34, 1
16, 0, 42, 0, 0, 35
17, 0, 38, 4, 34, 1
18, 0, 40, 2, 35, 0
19, 0, 21, 21, 34, 1
20, 0, 20, 22, 32, 3
21, 0, 38, 4, 33, 2
22, 0, 40, 2, 32, 3
23, 0, 42, 0, 33, 2
24, 1, 13, 29, 34, 1
25, 0, 27, 15, 32, 3
26, 0, 33, 9, 31, 4
27, 0, 37, 5, 27, 8
28, 0, 36, 6, 28, 7
29, 0, 36, 6, 26, 9
30, 0, 34, 8, 25, 10
31, 0, 39, 3, 27, 8
32, 0, 26, 16, 32, 3
33, 0, 35, 7, 26, 9
34, 0, 37, 5, 24, 11
35, 0, 39, 3, 26, 9
36, 0, 33, 9, 25, 10
37, 0, 35, 7, 27, 8
38, 0, 37, 5, 19, 16
39, 0, 37, 5, 18, 17
40, 0, 31, 11, 30, 5
41, 0, 34, 8, 28, 7
42, 0, 36, 6, 25, 10
43, 0, 33, 9, 25, 10
44, 1, 25, 17, 20, 15
45, 0, 32, 10, 26, 9
46, 0, 34, 8, 26, 9
47, 0, 36, 6, 24, 11
48, 0, 34, 8, 28, 7
49, 1, 33, 9, 27, 8
50, 0, 36, 6, 24, 11
51, 0, 32, 10, 27, 8
52, 0, 34, 8, 25, 10
53, 1, 36, 6, 27, 8
54, 0, 34, 8, 17, 18
55, 0, 33, 9, 22, 13
56, 0, 35, 7, 28, 7
57, 0, 40, 2, 20, 15
58, 0, 36, 6, 26, 9
59, 0, 37, 5, 20, 15
60, 1, 38, 4, 21, 14
61, 0, 34, 8, 27, 8
62, 0, 35, 7, 26, 9
63, 0, 28, 14, 27, 8
64, 0, 31, 11, 25, 10
65, 0, 38, 4, 27, 8
66, 0, 36, 6, 23, 12
67, 0, 38, 4, 17, 18
68, 1, 28, 14, 22, 13
69, 0, 38, 4, 23, 12
70, 0, 32, 10, 24, 11
71, 0, 31, 11, 25, 10
72, 0, 29, 13, 26, 9
73, 0, 34, 8, 22, 13
74, 0, 38, 4, 22, 13
75, 0, 39, 3, 15, 20
76, 0, 42, 0, 0, 35
77, 1, 33, 9, 26, 9
78, 0, 34, 8, 23, 12
79, 0, 36, 6, 20, 15
80, 0, 38, 4, 23, 12
81, 0, 38, 4, 20, 15
82, 0, 37, 5, 18, 17
83, 0, 38, 4, 17, 18
84, 0, 30, 12, 22, 13
85, 1, 27, 15, 28, 7
86, 1, 37, 5, 20, 15
87, 0, 34, 8, 25, 10
88, 0, 38, 4, 24, 11
89, 0, 40, 2, 19, 16
90, 0, 40, 2, 15, 20
91, 0, 34, 8, 24, 11
92, 0, 34, 8, 21, 14
93, 1, 35, 7, 21, 14
94, 1, 39, 3, 24, 11
95, 0, 39, 3, 24, 11
96, 0, 33, 9, 27, 8
97, 0, 39, 3, 21, 14
98, 0, 35, 7, 19, 16
99, 0, 32, 10, 25, 10
100, 0, 39, 3, 21, 14
101, 0, 37, 5, 22, 13
102, 1, 34, 8, 28, 7
103, 0, 39, 3, 21, 14
104, 0, 33, 9, 31, 4
105, 0, 37, 5, 33, 2
106, 0, 37, 5, 28, 7
107, 0, 34, 8, 22, 13
108, 0, 27, 15, 28, 7
109, 1, 36, 6, 27, 8
110, 0, 37, 5, 22, 13
111, 0, 36, 6, 25, 10
112, 0, 37, 5, 28, 7
113, 0, 36, 6, 31, 4
114, 0, 33, 9, 33, 2
115, 0, 37, 5, 29, 6
116, 1, 37, 5, 28, 7
117, 0, 40, 2, 24, 11
118, 0, 38, 4, 22, 13
119, 0, 35, 7, 22, 13
120, 0, 34, 8, 28, 7
121, 0, 36, 6, 32, 3
122, 0, 37, 5, 32, 3
123, 0, 36, 6, 30, 5
124, 0, 37, 5, 29, 6
125, 0, 34, 8, 28, 7
126, 0, 36, 6, 24, 11
127, 0, 28, 14, 29, 6
128, 0, 34, 8, 32, 3
129, 0, 41, 1, 34, 1
130, 0, 40, 2, 35, 0
131, 0, 22, 20, 33, 2
132, 1, 34, 8, 34, 1
133, 0, 21, 21, 33, 2
134, 0, 22, 20, 33, 2
135, 0, 37, 5, 35, 0
136, 0, 42, 0, 34, 1
137, 0, 42, 0, 35, 0
138, 0, 42, 0, 35, 0
139, 0, 42, 0, 35, 0
140, 0, 42, 0, 35, 0
141, 0, 42, 0, 35, 0
142, 0, 42, 0, 35, 0
143, 0, 42, 0, 35, 0
144, 1, 42, 0, 35, 0
145, 0, 42, 0, 0, 35
146, 0, 42, 0, 0, 35
147, 0, 42, 0, 35, 0
148, 0, 42, 0, 35, 0
149, 0, 42, 0, 35, 0
150, 0, 42, 0, 35, 0
151, 0, 42, 0, 35, 0
152, 0, 42, 0, 35, 0
