landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 12
2, 0, 42, 0, 0, 12
3, 0, 42, 0, 0, 12
4, 0, 42, 0, 0, 12
5, 0, 42, 0, 0, 12
6, 0, 42, 0, 0, 12
7, 0, 42, 0, 0, 12
8, 0, 42, 0, 0, 12
9, 0, 42, 0, 0, 12
10, 0, 42, 0, 0, 12
11, 0, 42, 0, 0, 12
12, 0, 42, 0, 0, 12
13, 0, 42, 0, 0, 12
14, 0, 42, 0, 0, 12
15, 0, 42, 0, 0, 12
16, 0, 42, 0, 0, 12
17, 0, 42, 0, 0, 12
18, 0, 42, 0, 1, 11
19, 0, 42, 0, 0, 12
20, 0, 42, 0, 0, 12
21, 0, 42, 0, 0, 12
22, 0, 42, 0, 0, 12
23, 0, 42, 0, 0, 12
24, 0, 42, 0, 0, 12
25, 0, 42, 0, 0, 12
26, 0, 42, 0, 0, 12
27, 0, 42, 0, 0, 12
28, 0, 42, 0, 0, 12
29, 0, 42, 0, 0, 12
30, 0, 42, 0, 0, 12
31, 0, 42, 0, 0, 12
32, 0, 42, 0, 0, 12
33, 0, 40, 2, 3, 9
34, 0, 42, 0, 0, 12
35, 0, 42, 0, 0, 12
36, 0, 40, 2, 5, 7
37, 0, 42, 0, 3, 9
38, 0, 42, 0, 2, 10
39, 0, 42, 0, 0, 12
40, 0, 42, 0, 0, 12
41, 0, 42, 0, 2, 10
42, 0, 42, 0, 0, 12
43, 0, 37, 5, 4, 8
44, 0, 38, 4, 4, 8
45, 0, 41, 1, 2, 10
46, 0, 42, 0, 2, 10
47, 0, 37, 5, 9, 3
48, 0, 38, 4, 10, 2
49, 0, 42, 0, 10, 2
50, 0, 40, 2, 10, 2
51, 0, 38, 4, 8, 4
52, 0, 37, 5, 10, 2
53, 0, 38, 4, 9, 3
54, 0, 42, 0, 7, 5
55, 0, 41, 1, 6, 6
56, 0, 40, 2, 6, 6
57, 0, 41, 1, 11, 1
58, 0, 41, 1, 10, 2
59, 0, 41, 1, 8, 4
60, 0, 38, 4, 8, 4
61, 0, 38, 4, 6, 6
62, 0, 37, 5, 10, 2
63, 0, 41, 1, 9, 3
64, 0, 41, 1, 11, 1
65, 0, 42, 0, 11, 1
66, 0, 41, 1, 6, 6
67, 0, 42, 0, 8, 4
68, 0, 42, 0, 7, 5
69, 0, 40, 2, 7, 5
70, 0, 41, 1, 6, 6
71, 0, 39, 3, 8, 4
72, 0, 39, 3, 10, 2
73, 0, 40, 2, 9, 3
74, 0, 42, 0, 5, 7
75, 0, 41, 1, 3, 9
76, 0, 41, 1, 6, 6
77, 0, 41, 1, 7, 5
78, 0, 42, 0, 6, 6
79, 0, 40, 2, 6, 6
80, 0, 42, 0, 8, 4
81, 1, 41, 1, 11, 1
82, 0, 40, 2, 9, 3
83, 0, 39, 3, 6, 6
84, 0, 40, 2, 7, 5
85, 0, 42, 0, 7, 5
86, 0, 41, 1, 10, 2
87, 0, 41, 1, 9, 3
88, 0, 37, 5, 9, 3
89, 0, 39, 3, 8, 4
90, 0, 42, 0, 4, 8
91, 0, 40, 2, 7, 5
92, 0, 40, 2, 7, 5
93, 0, 40, 2, 7, 5
94, 0, 41, 1, 5, 7
95, 0, 41, 1, 5, 7
96, 0, 37, 5, 9, 3
97, 0, 41, 1, 4, 8
98, 0, 42, 0, 0, 12
99, 0, 42, 0, 0, 12
100, 0, 42, 0, 0, 12
101, 0, 42, 0, 0, 12
102, 0, 41, 1, 6, 6
103, 0, 38, 4, 8, 4
104, 0, 38, 4, 4, 8
105, 0, 39, 3, 9, 3
106, 0, 40, 2, 3, 9
107, 0, 41, 1, 4, 8
108, 0, 35, 7, 9, 3
109, 0, 37, 5, 6, 6
110, 0, 40, 2, 8, 4
111, 0, 41, 1, 9, 3
112, 0, 40, 2, 8, 4
113, 0, 41, 1, 7, 5
114, 0, 34, 8, 9, 3
115, 0, 42, 0, 2, 10
116, 0, 41, 1, 5, 7
117, 0, 39, 3, 7, 5
118, 0, 40, 2, 9, 3
119, 0, 40, 2, 4, 8
120, 0, 41, 1, 3, 9
121, 0, 42, 0, 0, 12
122, 0, 42, 0, 0, 12
123, 0, 42, 0, 0, 12
124, 0, 41, 1, 3, 9
125, 0, 42, 0, 0, 12
126, 0, 42, 0, 1, 11
127, 0, 42, 0, 0, 12
128, 0, 42, 0, 0, 12
129, 0, 42, 0, 1, 11
130, 0, 42, 0, 0, 12
131, 0, 42, 0, 0, 12
132, 0, 42, 0, 0, 12
133, 0, 42, 0, 0, 12
134, 0, 42, 0, 1, 11
135, 0, 42, 0, 0, 12
136, 0, 42, 0, 0, 12
137, 0, 42, 0, 0, 12
138, 0, 42, 0, 0, 12
139, 0, 42, 0, 0, 12
140, 0, 42, 0, 0, 12
141, 0, 42, 0, 0, 12
142, 0, 42, 0, 1, 11
143, 0, 42, 0, 0, 12
144, 0, 42, 0, 0, 12
145, 0, 42, 0, 0, 12
146, 0, 42, 0, 0, 12
147, 0, 42, 0, 0, 12
148, 0, 42, 0, 0, 12
149, 0, 42, 0, 0, 12
150, 0, 42, 0, 0, 12
151, 0, 42, 0, 0, 12
152, 0, 42, 0, 0, 12
