sample_index, landmark_index, pred, ww, wm, mm, mw
112_2, 1, 1, 0, 35, 43, 0
112_2, 2, 1, 0, 35, 43, 0
112_2, 3, 1, 0, 35, 43, 0
112_2, 4, 0, 35, 0, 43, 0
112_2, 5, 0, 35, 0, 43, 0
112_2, 6, 0, 35, 0, 43, 0
112_2, 7, 1, 0, 35, 43, 0
112_2, 8, 1, 0, 35, 43, 0
112_2, 9, 0, 35, 0, 43, 0
112_2, 10, 0, 35, 0, 43, 0
112_2, 11, 0, 34, 1, 41, 2
112_2, 12, 0, 35, 0, 43, 0
112_2, 13, 0, 34, 1, 43, 0
112_2, 14, 0, 34, 1, 38, 5
112_2, 15, 0, 34, 1, 43, 0
112_2, 16, 1, 0, 35, 43, 0
112_2, 17, 0, 34, 1, 38, 5
112_2, 18, 0, 34, 1, 40, 3
112_2, 19, 0, 31, 4, 28, 15
112_2, 20, 0, 32, 3, 25, 18
112_2, 21, 0, 32, 3, 39, 4
112_2, 22, 0, 31, 4, 43, 0
112_2, 23, 0, 33, 2, 43, 0
112_2, 24, 0, 34, 1, 42, 1
112_2, 25, 0, 29, 6, 32, 11
112_2, 26, 1, 29, 6, 35, 8
112_2, 27, 0, 26, 9, 38, 5
112_2, 28, 1, 26, 9, 38, 5
112_2, 29, 0, 26, 9, 37, 6
112_2, 30, 0, 24, 11, 35, 8
112_2, 31, 1, 26, 9, 42, 1
112_2, 32, 0, 31, 4, 30, 13
112_2, 33, 1, 26, 9, 36, 7
112_2, 34, 0, 26, 9, 39, 4
112_2, 35, 0, 26, 9, 40, 3
112_2, 36, 1, 20, 15, 38, 5
112_2, 37, 0, 27, 8, 36, 7
112_2, 38, 0, 19, 16, 42, 1
112_2, 39, 1, 20, 15, 38, 5
112_2, 40, 1, 24, 11, 40, 3
112_2, 41, 0, 28, 7, 35, 8
112_2, 42, 1, 24, 11, 39, 4
112_2, 43, 0, 29, 6, 23, 20
112_2, 44, 1, 10, 25, 40, 3
112_2, 45, 0, 21, 14, 35, 8
112_2, 46, 0, 26, 9, 33, 10
112_2, 47, 0, 24, 11, 36, 7
112_2, 48, 0, 28, 7, 35, 8
112_2, 49, 0, 23, 12, 38, 5
112_2, 50, 0, 24, 11, 36, 7
112_2, 51, 0, 25, 10, 35, 8
112_2, 52, 0, 20, 15, 36, 7
112_2, 53, 0, 26, 9, 39, 4
112_2, 54, 0, 27, 8, 26, 17
112_2, 55, 1, 17, 18, 39, 4
112_2, 56, 0, 28, 7, 36, 7
112_2, 57, 0, 21, 14, 38, 5
112_2, 58, 0, 28, 7, 34, 9
112_2, 59, 0, 20, 15, 37, 6
112_2, 60, 0, 20, 15, 40, 3
112_2, 61, 0, 24, 11, 35, 8
112_2, 62, 0, 26, 9, 36, 7
112_2, 63, 0, 22, 13, 32, 11
112_2, 64, 0, 25, 10, 32, 11
112_2, 65, 0, 26, 9, 40, 3
112_2, 66, 0, 26, 9, 33, 10
112_2, 67, 0, 17, 18, 36, 7
112_2, 68, 0, 14, 21, 36, 7
112_2, 69, 0, 23, 12, 39, 4
112_2, 70, 0, 20, 15, 37, 6
112_2, 71, 0, 25, 10, 33, 10
112_2, 72, 0, 19, 16, 36, 7
112_2, 73, 0, 22, 13, 37, 6
112_2, 74, 0, 15, 20, 42, 1
112_2, 75, 0, 14, 21, 42, 1
112_2, 76, 0, 14, 21, 34, 9
112_2, 77, 0, 26, 9, 33, 10
112_2, 78, 0, 23, 12, 35, 8
112_2, 79, 0, 20, 15, 37, 6
112_2, 80, 0, 23, 12, 38, 5
112_2, 81, 0, 20, 15, 39, 4
112_2, 82, 0, 18, 17, 38, 5
112_2, 83, 0, 16, 19, 39, 4
112_2, 84, 0, 21, 14, 35, 8
112_2, 85, 0, 29, 6, 26, 17
112_2, 86, 0, 20, 15, 36, 7
112_2, 87, 0, 25, 10, 35, 8
112_2, 88, 0, 28, 7, 34, 9
112_2, 89, 0, 20, 15, 40, 3
112_2, 90, 0, 22, 13, 35, 8
112_2, 91, 0, 24, 11, 34, 9
112_2, 92, 0, 21, 14, 35, 8
112_2, 93, 0, 21, 14, 36, 7
112_2, 94, 0, 26, 9, 35, 8
112_2, 95, 0, 25, 10, 36, 7
112_2, 96, 0, 22, 13, 39, 4
112_2, 97, 0, 25, 10, 37, 6
112_2, 98, 0, 17, 18, 42, 1
112_2, 99, 0, 23, 12, 36, 7
112_2, 100, 0, 21, 14, 40, 3
112_2, 101, 0, 22, 13, 38, 5
112_2, 102, 0, 27, 8, 35, 8
112_2, 103, 0, 21, 14, 36, 7
112_2, 104, 0, 31, 4, 34, 9
112_2, 105, 0, 32, 3, 38, 5
112_2, 106, 0, 26, 9, 36, 7
112_2, 107, 0, 18, 17, 39, 4
112_2, 108, 0, 17, 18, 41, 2
112_2, 109, 0, 27, 8, 36, 7
112_2, 110, 0, 17, 18, 42, 1
112_2, 111, 0, 25, 10, 37, 6
112_2, 112, 0, 28, 7, 38, 5
112_2, 113, 0, 31, 4, 34, 9
112_2, 114, 0, 29, 6, 36, 7
112_2, 115, 0, 29, 6, 39, 4
112_2, 116, 0, 28, 7, 37, 6
112_2, 117, 0, 25, 10, 39, 4
112_2, 118, 0, 21, 14, 39, 4
112_2, 119, 0, 28, 7, 27, 16
112_2, 120, 0, 32, 3, 30, 13
112_2, 121, 0, 32, 3, 37, 6
112_2, 122, 0, 33, 2, 33, 10
112_2, 123, 0, 30, 5, 36, 7
112_2, 124, 0, 30, 5, 39, 4
112_2, 125, 0, 28, 7, 35, 8
112_2, 126, 0, 27, 8, 34, 9
112_2, 127, 0, 25, 10, 40, 3
112_2, 128, 0, 34, 1, 23, 20
112_2, 129, 0, 34, 1, 43, 0
112_2, 130, 0, 34, 1, 40, 3
112_2, 131, 0, 33, 2, 27, 16
112_2, 132, 0, 33, 2, 33, 10
112_2, 133, 0, 32, 3, 41, 2
112_2, 134, 0, 33, 2, 22, 21
112_2, 135, 0, 34, 1, 37, 6
112_2, 136, 0, 34, 1, 43, 0
112_2, 137, 0, 35, 0, 42, 1
112_2, 138, 0, 35, 0, 43, 0
112_2, 139, 0, 35, 0, 43, 0
112_2, 140, 0, 35, 0, 42, 1
112_2, 141, 0, 35, 0, 43, 0
112_2, 142, 0, 35, 0, 43, 0
112_2, 143, 0, 35, 0, 43, 0
112_2, 144, 0, 35, 0, 42, 1
112_2, 145, 1, 0, 35, 43, 0
112_2, 146, 1, 0, 35, 43, 0
112_2, 147, 0, 35, 0, 43, 0
112_2, 148, 0, 35, 0, 43, 0
112_2, 149, 0, 35, 0, 43, 0
112_2, 150, 0, 35, 0, 43, 0
112_2, 151, 0, 35, 0, 43, 0
112_2, 152, 0, 35, 0, 43, 0
