sample_index, landmark_index, pred, ww, wm, mm, mw
143, 1, 1, 0, 35, 43, 0
143, 2, 1, 0, 35, 43, 0
143, 3, 1, 0, 35, 43, 0
143, 4, 1, 35, 0, 43, 0
143, 5, 1, 35, 0, 43, 0
143, 6, 1, 35, 0, 43, 0
143, 7, 1, 0, 35, 43, 0
143, 8, 1, 0, 35, 43, 0
143, 9, 1, 35, 0, 43, 0
143, 10, 1, 35, 0, 43, 0
143, 11, 1, 34, 1, 41, 2
143, 12, 1, 35, 0, 43, 0
143, 13, 1, 34, 1, 43, 0
143, 14, 1, 34, 1, 38, 5
143, 15, 1, 34, 1, 43, 0
143, 16, 1, 0, 35, 43, 0
143, 17, 1, 34, 1, 38, 5
143, 18, 1, 34, 1, 40, 3
143, 19, 1, 31, 4, 28, 15
143, 20, 0, 32, 3, 25, 18
143, 21, 1, 32, 3, 39, 4
143, 22, 1, 31, 4, 43, 0
143, 23, 1, 33, 2, 43, 0
143, 24, 1, 34, 1, 42, 1
143, 25, 1, 29, 6, 32, 11
143, 26, 1, 29, 6, 35, 8
143, 27, 1, 26, 9, 38, 5
143, 28, 1, 26, 9, 38, 5
143, 29, 1, 26, 9, 37, 6
143, 30, 0, 24, 11, 35, 8
143, 31, 1, 26, 9, 42, 1
143, 32, 0, 31, 4, 30, 13
143, 33, 1, 26, 9, 36, 7
143, 34, 1, 26, 9, 39, 4
143, 35, 1, 26, 9, 40, 3
143, 36, 1, 20, 15, 38, 5
143, 37, 1, 27, 8, 36, 7
143, 38, 1, 19, 16, 42, 1
143, 39, 1, 20, 15, 38, 5
143, 40, 1, 24, 11, 40, 3
143, 41, 1, 28, 7, 35, 8
143, 42, 1, 24, 11, 39, 4
143, 43, 0, 29, 6, 23, 20
143, 44, 1, 10, 25, 40, 3
143, 45, 1, 21, 14, 35, 8
143, 46, 1, 26, 9, 33, 10
143, 47, 0, 24, 11, 36, 7
143, 48, 1, 28, 7, 35, 8
143, 49, 1, 23, 12, 38, 5
143, 50, 0, 24, 11, 36, 7
143, 51, 0, 25, 10, 35, 8
143, 52, 1, 20, 15, 36, 7
143, 53, 1, 26, 9, 39, 4
143, 54, 1, 27, 8, 26, 17
143, 55, 1, 17, 18, 39, 4
