landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 35
2, 0, 42, 0, 0, 35
3, 0, 42, 0, 0, 35
4, 0, 42, 0, 35, 0
5, 0, 42, 0, 35, 0
6, 0, 42, 0, 35, 0
7, 0, 42, 0, 0, 35
8, 0, 42, 0, 0, 35
9, 0, 42, 0, 35, 0
10, 0, 42, 0, 35, 0
11, 0, 41, 1, 34, 1
12, 0, 42, 0, 35, 0
13, 0, 41, 1, 35, 0
14, 0, 41, 1, 34, 1
15, 1, 41, 1, 35, 0
16, 0, 42, 0, 0, 35
17, 0, 38, 4, 34, 1
18, 1, 40, 2, 34, 1
19, 0, 21, 21, 34, 1
20, 0, 20, 22, 32, 3
21, 0, 38, 4, 33, 2
22, 0, 40, 2, 32, 3
23, 0, 42, 0, 33, 2
24, 0, 13, 29, 34, 1
25, 0, 27, 15, 32, 3
26, 0, 33, 9, 31, 4
27, 0, 37, 5, 27, 8
28, 0, 36, 6, 28, 7
29, 0, 36, 6, 26, 9
30, 0, 34, 8, 25, 10
31, 0, 39, 3, 27, 8
32, 0, 26, 16, 32, 3
33, 0, 35, 7, 28, 7
34, 0, 38, 4, 25, 10
35, 0, 39, 3, 26, 9
36, 1, 35, 7, 25, 10
37, 1, 36, 6, 27, 8
38, 1, 36, 6, 19, 16
39, 0, 38, 4, 16, 19
40, 0, 38, 4, 23, 12
41, 0, 34, 8, 28, 7
42, 0, 36, 6, 24, 11
43, 0, 42, 0, 15, 20
44, 1, 25, 17, 20, 15
45, 1, 33, 9, 26, 9
46, 1, 35, 7, 26, 9
47, 1, 37, 5, 24, 11
48, 0, 34, 8, 28, 7
49, 0, 37, 5, 24, 11
50, 1, 37, 5, 22, 13
51, 1, 34, 8, 26, 9
52, 1, 35, 7, 25, 10
53, 1, 38, 4, 26, 9
54, 1, 33, 9, 18, 17
55, 1, 34, 8, 23, 12
56, 0, 35, 7, 29, 6
57, 0, 38, 4, 21, 14
58, 1, 36, 6, 26, 9
59, 1, 38, 4, 20, 15
60, 1, 39, 3, 21, 14
61, 1, 35, 7, 27, 8
62, 1, 35, 7, 26, 9
63, 1, 29, 13, 27, 8
64, 0, 35, 7, 25, 10
65, 0, 37, 5, 27, 8
66, 1, 33, 9, 26, 9
67, 1, 28, 14, 25, 10
68, 1, 24, 18, 24, 11
69, 1, 39, 3, 23, 12
70, 1, 36, 6, 23, 12
71, 1, 32, 10, 25, 10
72, 0, 34, 8, 23, 12
73, 0, 34, 8, 22, 13
74, 0, 38, 4, 22, 13
75, 0, 41, 1, 15, 20
76, 0, 42, 0, 0, 35
77, 1, 34, 8, 24, 11
78, 1, 30, 12, 23, 12
79, 1, 37, 5, 22, 13
80, 0, 38, 4, 23, 12
81, 0, 38, 4, 20, 15
82, 0, 37, 5, 18, 17
83, 0, 37, 5, 17, 18
84, 1, 36, 6, 19, 16
85, 1, 28, 14, 28, 7
86, 0, 36, 6, 20, 15
87, 0, 34, 8, 25, 10
88, 0, 38, 4, 24, 11
89, 0, 39, 3, 20, 15
90, 1, 35, 7, 21, 14
91, 0, 34, 8, 24, 11
92, 0, 34, 8, 21, 14
93, 1, 24, 18, 31, 4
94, 0, 34, 8, 26, 9
95, 0, 39, 3, 24, 11
96, 1, 34, 8, 27, 8
97, 1, 40, 2, 21, 14
98, 1, 36, 6, 19, 16
99, 1, 31, 11, 27, 8
100, 0, 39, 3, 24, 11
101, 0, 37, 5, 22, 13
102, 0, 34, 8, 27, 8
103, 0, 38, 4, 21, 14
104, 1, 34, 8, 31, 4
105, 1, 38, 4, 32, 3
106, 1, 38, 4, 26, 9
107, 1, 35, 7, 24, 11
108, 0, 26, 16, 28, 7
109, 0, 35, 7, 27, 8
110, 1, 36, 6, 22, 13
111, 0, 36, 6, 25, 10
112, 1, 36, 6, 29, 6
113, 0, 36, 6, 31, 4
114, 1, 34, 8, 33, 2
115, 1, 38, 4, 29, 6
116, 0, 39, 3, 27, 8
117, 0, 40, 2, 24, 11
118, 1, 39, 3, 22, 13
119, 0, 36, 6, 18, 17
120, 0, 34, 8, 28, 7
121, 0, 36, 6, 32, 3
122, 1, 38, 4, 32, 3
123, 0, 36, 6, 30, 5
124, 0, 37, 5, 29, 6
125, 0, 34, 8, 28, 7
126, 0, 36, 6, 24, 11
127, 0, 28, 14, 29, 6
128, 0, 23, 19, 32, 3
129, 0, 41, 1, 34, 1
130, 0, 40, 2, 35, 0
131, 0, 22, 20, 33, 2
132, 0, 34, 8, 34, 1
133, 0, 21, 21, 33, 2
134, 0, 24, 18, 33, 2
135, 0, 37, 5, 35, 0
136, 0, 42, 0, 34, 1
137, 0, 42, 0, 35, 0
138, 0, 42, 0, 35, 0
139, 0, 42, 0, 35, 0
140, 0, 42, 0, 35, 0
141, 0, 42, 0, 35, 0
142, 0, 42, 0, 35, 0
143, 0, 42, 0, 35, 0
144, 0, 41, 1, 35, 0
145, 0, 42, 0, 0, 35
146, 0, 42, 0, 0, 35
147, 0, 42, 0, 35, 0
148, 0, 42, 0, 35, 0
149, 1, 42, 0, 35, 0
150, 0, 42, 0, 35, 0
151, 0, 42, 0, 35, 0
152, 0, 42, 0, 35, 0
