sample_index, landmark_index, pred, ww, wm, mm, mw
337, 1, 1, 0, 35, 43, 0
337, 2, 1, 0, 35, 43, 0
337, 3, 1, 0, 35, 43, 0
337, 4, 1, 0, 35, 43, 0
337, 5, 1, 0, 35, 43, 0
337, 6, 1, 0, 35, 43, 0
337, 7, 1, 0, 35, 43, 0
337, 8, 1, 0, 35, 43, 0
337, 9, 1, 0, 35, 43, 0
337, 10, 1, 0, 35, 43, 0
337, 11, 0, 35, 0, 43, 0
337, 12, 0, 35, 0, 43, 0
337, 13, 0, 35, 0, 43, 0
337, 14, 0, 35, 0, 43, 0
337, 15, 0, 35, 0, 43, 0
337, 16, 0, 35, 0, 43, 0
337, 17, 0, 35, 0, 42, 1
337, 18, 1, 33, 2, 43, 0
337, 19, 0, 34, 1, 37, 6
337, 20, 1, 33, 2, 33, 10
337, 21, 1, 34, 1, 36, 7
337, 22, 1, 34, 1, 37, 6
337, 23, 1, 32, 3, 42, 1
337, 24, 0, 35, 0, 42, 1
337, 25, 1, 33, 2, 37, 6
337, 26, 1, 29, 6, 36, 7
337, 27, 1, 23, 12, 31, 12
337, 28, 1, 25, 10, 25, 18
337, 29, 1, 23, 12, 25, 18
337, 30, 1, 28, 7, 25, 18
337, 31, 1, 27, 8, 23, 20
337, 32, 1, 4, 31, 31, 12
337, 33, 1, 25, 10, 34, 9
337, 34, 1, 24, 11, 26, 17
337, 35, 1, 11, 24, 38, 5
337, 36, 1, 32, 3, 5, 38
337, 37, 0, 14, 21, 29, 14
337, 38, 1, 7, 28, 40, 3
337, 39, 1, 15, 20, 36, 7
337, 40, 1, 29, 6, 25, 18
337, 41, 1, 25, 10, 33, 10
337, 42, 1, 15, 20, 34, 9
337, 43, 1, 27, 8, 23, 20
337, 44, 1, 19, 16, 32, 11
337, 45, 1, 24, 11, 28, 15
337, 46, 1, 22, 13, 31, 12
337, 47, 1, 28, 7, 28, 15
337, 48, 1, 24, 11, 28, 15
337, 49, 1, 26, 9, 35, 8
337, 50, 1, 23, 12, 33, 10
337, 51, 1, 18, 17, 36, 7
337, 52, 1, 15, 20, 38, 5
337, 53, 1, 26, 9, 33, 10
337, 54, 1, 26, 9, 31, 12
337, 55, 1, 24, 11, 34, 9
337, 56, 1, 18, 17, 37, 6
337, 57, 1, 24, 11, 30, 13
337, 58, 1, 23, 12, 35, 8
337, 59, 1, 16, 19, 36, 7
337, 60, 1, 14, 21, 39, 4
337, 61, 0, 24, 11, 29, 14
337, 62, 0, 27, 8, 32, 11
337, 63, 1, 28, 7, 34, 9
337, 64, 1, 20, 15, 35, 8
337, 65, 1, 21, 14, 35, 8
337, 66, 1, 12, 23, 40, 3
337, 67, 1, 13, 22, 40, 3
337, 68, 1, 13, 22, 40, 3
337, 69, 1, 21, 14, 34, 9
337, 70, 0, 22, 13, 31, 12
337, 71, 1, 21, 14, 32, 11
337, 72, 1, 22, 13, 36, 7
337, 73, 1, 18, 17, 32, 11
337, 74, 1, 14, 21, 38, 5
337, 75, 1, 11, 24, 39, 4
337, 76, 1, 11, 24, 42, 1
337, 77, 1, 13, 22, 36, 7
337, 78, 1, 18, 17, 30, 13
337, 79, 1, 25, 10, 33, 10
337, 80, 1, 12, 23, 40, 3
337, 81, 1, 20, 15, 34, 9
337, 82, 1, 19, 16, 36, 7
337, 83, 1, 21, 14, 32, 11
337, 84, 1, 11, 24, 41, 2
337, 85, 1, 21, 14, 32, 11
337, 86, 1, 20, 15, 35, 8
337, 87, 0, 25, 10, 32, 11
337, 88, 1, 21, 14, 34, 9
337, 89, 1, 21, 14, 30, 13
337, 90, 1, 20, 15, 32, 11
337, 91, 1, 19, 16, 39, 4
337, 92, 1, 15, 20, 36, 7
337, 93, 1, 18, 17, 32, 11
337, 94, 1, 20, 15, 29, 14
337, 95, 1, 24, 11, 32, 11
337, 96, 1, 17, 18, 37, 6
337, 97, 0, 23, 12, 28, 15
337, 98, 0, 28, 7, 28, 15
337, 99, 1, 13, 22, 40, 3
337, 100, 1, 24, 11, 30, 13
337, 101, 1, 21, 14, 32, 11
337, 102, 1, 25, 10, 29, 14
337, 103, 0, 28, 7, 29, 14
337, 104, 1, 16, 19, 37, 6
337, 105, 0, 26, 9, 28, 15
337, 106, 0, 25, 10, 27, 16
337, 107, 1, 24, 11, 28, 15
337, 108, 1, 24, 11, 30, 13
337, 109, 1, 21, 14, 34, 9
337, 110, 1, 18, 17, 39, 4
337, 111, 1, 22, 13, 31, 12
337, 112, 0, 25, 10, 24, 19
337, 113, 0, 25, 10, 36, 7
337, 114, 0, 20, 15, 37, 6
337, 115, 1, 18, 17, 23, 20
337, 116, 1, 16, 19, 28, 15
337, 117, 1, 21, 14, 26, 17
337, 118, 1, 10, 25, 40, 3
337, 119, 1, 24, 11, 19, 24
337, 120, 1, 19, 16, 25, 18
337, 121, 1, 8, 27, 29, 14
337, 122, 1, 4, 31, 38, 5
337, 123, 0, 25, 10, 27, 16
337, 124, 0, 32, 3, 34, 9
337, 125, 1, 0, 35, 43, 0
337, 126, 1, 3, 32, 41, 2
337, 127, 0, 28, 7, 32, 11
337, 128, 0, 30, 5, 31, 12
337, 129, 0, 33, 2, 42, 1
337, 130, 0, 31, 4, 42, 1
337, 131, 0, 34, 1, 40, 3
337, 132, 0, 34, 1, 38, 5
337, 133, 0, 34, 1, 37, 6
337, 134, 1, 1, 34, 43, 0
337, 135, 0, 35, 0, 36, 7
337, 136, 0, 34, 1, 38, 5
337, 137, 0, 35, 0, 43, 0
337, 138, 0, 35, 0, 43, 0
337, 139, 0, 34, 1, 43, 0
337, 140, 0, 34, 1, 43, 0
337, 141, 0, 34, 1, 43, 0
337, 142, 0, 35, 0, 43, 0
337, 143, 0, 35, 0, 43, 0
337, 144, 0, 35, 0, 43, 0
337, 145, 1, 0, 35, 43, 0
337, 146, 1, 0, 35, 43, 0
337, 147, 0, 35, 0, 43, 0
337, 148, 0, 35, 0, 43, 0
337, 149, 0, 35, 0, 43, 0
337, 150, 0, 35, 0, 43, 0
337, 151, 0, 35, 0, 43, 0
337, 152, 0, 35, 0, 43, 0
