landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 12
2, 0, 42, 0, 0, 12
3, 0, 42, 0, 0, 12
4, 0, 42, 0, 0, 12
5, 0, 42, 0, 0, 12
6, 0, 42, 0, 0, 12
7, 0, 42, 0, 0, 12
8, 0, 42, 0, 0, 12
9, 0, 42, 0, 0, 12
10, 0, 42, 0, 0, 12
11, 0, 42, 0, 0, 12
12, 0, 42, 0, 0, 12
13, 0, 42, 0, 0, 12
14, 0, 42, 0, 0, 12
15, 0, 42, 0, 0, 12
16, 0, 42, 0, 0, 12
17, 0, 42, 0, 0, 12
18, 0, 42, 0, 0, 12
19, 0, 42, 0, 0, 12
20, 0, 42, 0, 0, 12
21, 0, 42, 0, 0, 12
22, 0, 42, 0, 0, 12
23, 0, 42, 0, 0, 12
24, 0, 42, 0, 0, 12
25, 0, 42, 0, 0, 12
26, 0, 35, 7, 11, 1
27, 0, 37, 5, 11, 1
28, 0, 37, 5, 11, 1
29, 0, 38, 4, 11, 1
30, 0, 35, 7, 10, 2
31, 0, 42, 0, 0, 12
32, 0, 42, 0, 0, 12
33, 0, 35, 7, 9, 3
34, 0, 38, 4, 9, 3
35, 0, 41, 1, 10, 2
36, 0, 39, 3, 10, 2
37, 0, 39, 3, 10, 2
38, 0, 39, 3, 11, 1
39, 0, 38, 4, 8, 4
40, 0, 36, 6, 10, 2
41, 0, 38, 4, 10, 2
42, 0, 40, 2, 10, 2
43, 0, 40, 2, 10, 2
44, 0, 36, 6, 7, 5
45, 0, 38, 4, 8, 4
46, 0, 39, 3, 11, 1
47, 0, 39, 3, 11, 1
48, 0, 41, 1, 10, 2
49, 0, 42, 0, 10, 2
50, 0, 42, 0, 11, 1
51, 0, 41, 1, 9, 3
52, 0, 41, 1, 9, 3
53, 0, 41, 1, 10, 2
54, 0, 42, 0, 6, 6
55, 0, 40, 2, 10, 2
56, 0, 41, 1, 11, 1
57, 0, 41, 1, 12, 0
58, 0, 40, 2, 12, 0
59, 0, 39, 3, 11, 1
60, 0, 40, 2, 10, 2
61, 0, 39, 3, 10, 2
62, 0, 35, 7, 12, 0
63, 0, 37, 5, 12, 0
64, 0, 38, 4, 12, 0
65, 0, 40, 2, 12, 0
66, 0, 41, 1, 11, 1
67, 0, 40, 2, 11, 1
68, 0, 38, 4, 10, 2
69, 0, 40, 2, 11, 1
70, 0, 36, 6, 10, 2
71, 0, 36, 6, 11, 1
72, 0, 39, 3, 11, 1
73, 0, 41, 1, 11, 1
74, 0, 42, 0, 11, 1
75, 0, 42, 0, 11, 1
76, 0, 40, 2, 10, 2
77, 0, 40, 2, 11, 1
78, 0, 42, 0, 11, 1
79, 0, 41, 1, 12, 0
80, 0, 41, 1, 12, 0
81, 0, 41, 1, 11, 1
82, 0, 42, 0, 12, 0
83, 0, 41, 1, 12, 0
84, 0, 42, 0, 12, 0
85, 0, 42, 0, 10, 2
86, 0, 41, 1, 11, 1
87, 0, 41, 1, 11, 1
88, 0, 41, 1, 12, 0
89, 0, 42, 0, 12, 0
90, 0, 39, 3, 12, 0
91, 0, 37, 5, 11, 1
92, 0, 40, 2, 10, 2
93, 0, 37, 5, 11, 1
94, 1, 40, 2, 12, 0
95, 0, 40, 2, 11, 1
96, 0, 42, 0, 11, 1
97, 0, 40, 2, 11, 1
98, 0, 40, 2, 11, 1
99, 0, 38, 4, 11, 1
100, 0, 40, 2, 10, 2
101, 0, 39, 3, 11, 1
102, 0, 41, 1, 8, 4
103, 0, 40, 2, 12, 0
104, 0, 41, 1, 10, 2
105, 0, 41, 1, 11, 1
106, 0, 39, 3, 8, 4
107, 0, 39, 3, 11, 1
108, 1, 41, 1, 10, 2
109, 0, 39, 3, 11, 1
110, 0, 41, 1, 9, 3
111, 0, 40, 2, 10, 2
112, 0, 40, 2, 11, 1
113, 0, 37, 5, 11, 1
114, 0, 38, 4, 10, 2
115, 0, 40, 2, 9, 3
116, 0, 42, 0, 12, 0
117, 0, 40, 2, 11, 1
118, 0, 39, 3, 10, 2
119, 0, 36, 6, 9, 3
120, 0, 37, 5, 11, 1
121, 0, 42, 0, 0, 12
122, 0, 34, 8, 10, 2
123, 0, 37, 5, 12, 0
124, 0, 39, 3, 11, 1
125, 0, 37, 5, 11, 1
126, 0, 36, 6, 11, 1
127, 0, 42, 0, 0, 12
128, 0, 42, 0, 0, 12
129, 0, 42, 0, 0, 12
130, 0, 42, 0, 0, 12
131, 0, 42, 0, 0, 12
132, 0, 42, 0, 0, 12
133, 0, 42, 0, 0, 12
134, 0, 42, 0, 0, 12
135, 0, 42, 0, 0, 12
136, 0, 42, 0, 0, 12
137, 0, 42, 0, 0, 12
138, 0, 42, 0, 0, 12
139, 0, 42, 0, 0, 12
140, 0, 42, 0, 0, 12
141, 0, 42, 0, 0, 12
142, 0, 42, 0, 0, 12
143, 0, 42, 0, 0, 12
144, 0, 42, 0, 0, 12
145, 0, 42, 0, 0, 12
146, 0, 42, 0, 0, 12
147, 0, 42, 0, 0, 12
148, 0, 42, 0, 0, 12
149, 0, 42, 0, 0, 12
150, 0, 42, 0, 0, 12
151, 0, 42, 0, 0, 12
152, 0, 42, 0, 0, 12
