landmark_index, pred, ww, wm, mm, mw
1, 0, 44, 0, 0, 35
2, 0, 44, 0, 0, 35
3, 0, 44, 0, 0, 35
4, 1, 44, 0, 35, 0
5, 1, 44, 0, 35, 0
6, 1, 44, 0, 35, 0
7, 0, 44, 0, 0, 35
8, 0, 44, 0, 0, 35
9, 1, 44, 0, 35, 0
10, 1, 44, 0, 35, 0
11, 1, 42, 2, 34, 1
12, 1, 44, 0, 35, 0
13, 1, 44, 0, 34, 1
14, 1, 39, 5, 34, 1
15, 1, 44, 0, 34, 1
16, 0, 44, 0, 0, 35
17, 1, 39, 5, 34, 1
18, 1, 40, 4, 35, 0
19, 1, 27, 17, 31, 4
20, 1, 21, 23, 32, 3
21, 1, 26, 18, 31, 4
22, 1, 43, 1, 31, 4
23, 1, 44, 0, 32, 3
24, 1, 37, 7, 34, 1
25, 0, 31, 13, 29, 6
26, 1, 36, 8, 28, 7
27, 1, 38, 6, 25, 10
28, 0, 39, 5, 26, 9
29, 0, 40, 4, 25, 10
30, 0, 36, 8, 25, 10
31, 0, 43, 1, 25, 10
32, 0, 30, 14, 31, 4
33, 0, 37, 7, 26, 9
34, 1, 40, 4, 23, 12
35, 0, 40, 4, 25, 10
36, 0, 39, 5, 20, 15
37, 1, 36, 8, 26, 9
